*runtime[h] lower[m] comp release[Bq/s]
0.00 0 Aerosol_0.6mym 1.1345E+16
0.00 0 Aerosol_1.2mym 1.1345E+16
0.00 0 Aerosol_1.8mym 1.1345E+16
0.00 0 Aerosol_2.4mym 1.1345E+16
0.00 0 Aerosol_3.0mym 1.1345E+16
0.00 0 Aerosol_3.7mym 1.1345E+16
0.00 0 Aerosol_4.4mym 1.1345E+16
0.00 0 Aerosol_5.1mym 1.1345E+16
0.00 0 Aerosol_5.8mym 1.1345E+16
0.00 0 Aerosol_6.5mym 1.1345E+16
0.00 0 Aerosol_7.5mym 2.0420E+16
0.00 0 Aerosol_8.5mym 2.0420E+16
0.00 0 Aerosol_9.5mym 2.0420E+16
0.00 0 Aerosol_10.5mym 2.0420E+16
0.00 0 Aerosol_11.5mym 2.0420E+16
0.00 0 Aerosol_12.9mym 9.0757E+16
0.00 0 Aerosol_14.3mym 9.0757E+16
0.00 0 Aerosol_15.7mym 9.0757E+16
0.00 0 Aerosol_17.1mym 9.0757E+16
0.00 0 Aerosol_18.5mym 9.0757E+16
0.00 0 Aerosol_20.6mym 1.9286E+17
0.00 0 Aerosol_22.7mym 1.9286E+17
0.00 0 Aerosol_24.8mym 1.9286E+17
0.00 0 Aerosol_26.9mym 1.9286E+17
0.00 0 Aerosol_29.0mym 1.9286E+17
0.00 0 Aerosol_32.2mym 2.8361E+17
0.00 0 Aerosol_35.4mym 2.8361E+17
0.00 0 Aerosol_38.6mym 2.8361E+17
0.00 0 Aerosol_41.8mym 2.8361E+17
0.00 0 Aerosol_45.0mym 2.8361E+17
0.00 0 Aerosol_50.2mym 2.7227E+17
0.00 0 Aerosol_55.4mym 2.7227E+17
0.00 0 Aerosol_60.6mym 2.7227E+17
0.00 0 Aerosol_65.8mym 2.7227E+17
0.00 0 Aerosol_71.0mym 2.7227E+17
0.00 0 Aerosol_80.8mym 1.9286E+17
0.00 0 Aerosol_90.6mym 1.9286E+17
0.00 0 Aerosol_100.4mym 1.9286E+17
0.00 0 Aerosol_110.2mym 1.9286E+17
0.00 0 Aerosol_120.0mym 1.9286E+17
0.00 0 Aerosol_146.0mym 6.8068E+16
0.00 0 Aerosol_172.0mym 6.8068E+16
0.00 0 Aerosol_198.0mym 6.8068E+16
0.00 0 Aerosol_224.0mym 6.8068E+16
0.00 0 Aerosol_250.0mym 6.8068E+16
0.00 0 Aerosol_300.0mym 1.1345E+16
0.00 0 Aerosol_350.0mym 1.1345E+16
0.00 0 Aerosol_400.0mym 1.1345E+16
0.00 0 Aerosol_450.0mym 1.1345E+16
0.00 0 Aerosol_500.0mym 1.1345E+16
0.00 489 Aerosol_0.6mym 1.3637E+16
0.00 489 Aerosol_1.2mym 1.3637E+16
0.00 489 Aerosol_1.8mym 1.3637E+16
0.00 489 Aerosol_2.4mym 1.3637E+16
0.00 489 Aerosol_3.0mym 1.3637E+16
0.00 489 Aerosol_3.7mym 1.3637E+16
0.00 489 Aerosol_4.4mym 1.3637E+16
0.00 489 Aerosol_5.1mym 1.3637E+16
0.00 489 Aerosol_5.8mym 1.3637E+16
0.00 489 Aerosol_6.5mym 1.3637E+16
0.00 489 Aerosol_7.5mym 2.4547E+16
0.00 489 Aerosol_8.5mym 2.4547E+16
0.00 489 Aerosol_9.5mym 2.4547E+16
0.00 489 Aerosol_10.5mym 2.4547E+16
0.00 489 Aerosol_11.5mym 2.4547E+16
0.00 489 Aerosol_12.9mym 1.0910E+17
0.00 489 Aerosol_14.3mym 1.0910E+17
0.00 489 Aerosol_15.7mym 1.0910E+17
0.00 489 Aerosol_17.1mym 1.0910E+17
0.00 489 Aerosol_18.5mym 1.0910E+17
0.00 489 Aerosol_20.6mym 2.3184E+17
0.00 489 Aerosol_22.7mym 2.3184E+17
0.00 489 Aerosol_24.8mym 2.3184E+17
0.00 489 Aerosol_26.9mym 2.3184E+17
0.00 489 Aerosol_29.0mym 2.3184E+17
0.00 489 Aerosol_32.2mym 3.4094E+17
0.00 489 Aerosol_35.4mym 3.4094E+17
0.00 489 Aerosol_38.6mym 3.4094E+17
0.00 489 Aerosol_41.8mym 3.4094E+17
0.00 489 Aerosol_45.0mym 3.4094E+17
0.00 489 Aerosol_50.2mym 3.2730E+17
0.00 489 Aerosol_55.4mym 3.2730E+17
0.00 489 Aerosol_60.6mym 3.2730E+17
0.00 489 Aerosol_65.8mym 3.2730E+17
0.00 489 Aerosol_71.0mym 3.2730E+17
0.00 489 Aerosol_80.8mym 2.3184E+17
0.00 489 Aerosol_90.6mym 2.3184E+17
0.00 489 Aerosol_100.4mym 2.3184E+17
0.00 489 Aerosol_110.2mym 2.3184E+17
0.00 489 Aerosol_120.0mym 2.3184E+17
0.00 489 Aerosol_146.0mym 8.1825E+16
0.00 489 Aerosol_172.0mym 8.1825E+16
0.00 489 Aerosol_198.0mym 8.1825E+16
0.00 489 Aerosol_224.0mym 8.1825E+16
0.00 489 Aerosol_250.0mym 8.1825E+16
0.00 489 Aerosol_300.0mym 1.3637E+16
0.00 489 Aerosol_350.0mym 1.3637E+16
0.00 489 Aerosol_400.0mym 1.3637E+16
0.00 489 Aerosol_450.0mym 1.3637E+16
0.00 489 Aerosol_500.0mym 1.3637E+16
0.00 978 Aerosol_0.6mym 1.5930E+16
0.00 978 Aerosol_1.2mym 1.5930E+16
0.00 978 Aerosol_1.8mym 1.5930E+16
0.00 978 Aerosol_2.4mym 1.5930E+16
0.00 978 Aerosol_3.0mym 1.5930E+16
0.00 978 Aerosol_3.7mym 1.5930E+16
0.00 978 Aerosol_4.4mym 1.5930E+16
0.00 978 Aerosol_5.1mym 1.5930E+16
0.00 978 Aerosol_5.8mym 1.5930E+16
0.00 978 Aerosol_6.5mym 1.5930E+16
0.00 978 Aerosol_7.5mym 2.8674E+16
0.00 978 Aerosol_8.5mym 2.8674E+16
0.00 978 Aerosol_9.5mym 2.8674E+16
0.00 978 Aerosol_10.5mym 2.8674E+16
0.00 978 Aerosol_11.5mym 2.8674E+16
0.00 978 Aerosol_12.9mym 1.2744E+17
