*runtime[h] lower[m] comp release[Bq/s]
0.00 0 Aerosol_1.1mym 0.0000E+00
0.00 0 Aerosol_2.3mym 2.5872E+16
0.00 0 Aerosol_3.5mym 2.5872E+16
0.00 0 Aerosol_4.6mym 2.5872E+16
0.00 0 Aerosol_5.7mym 2.5872E+16
0.00 0 Aerosol_6.9mym 2.5872E+16
0.00 0 Aerosol_8.2mym 2.5872E+16
0.00 0 Aerosol_9.5mym 2.5872E+16
0.00 0 Aerosol_10.9mym 2.5872E+16
0.00 0 Aerosol_12.3mym 2.5872E+16
0.00 0 Aerosol_13.9mym 2.5872E+16
0.00 0 Aerosol_15.5mym 2.5872E+16
0.00 0 Aerosol_17.3mym 2.5872E+16
0.00 0 Aerosol_19.1mym 2.5872E+16
0.00 0 Aerosol_21.1mym 2.5872E+16
0.00 0 Aerosol_23.1mym 2.5872E+16
0.00 0 Aerosol_25.4mym 2.5872E+16
0.00 0 Aerosol_27.7mym 2.5872E+16
0.00 0 Aerosol_30.3mym 2.5872E+16
0.00 0 Aerosol_33.0mym 2.5872E+16
0.00 0 Aerosol_35.9mym 2.5872E+16
0.00 0 Aerosol_39.0mym 2.5872E+16
0.00 0 Aerosol_42.3mym 2.5872E+16
0.00 0 Aerosol_45.9mym 2.5872E+16
0.00 0 Aerosol_49.8mym 2.5872E+16
0.00 0 Aerosol_54.0mym 2.5872E+16
0.00 0 Aerosol_58.5mym 2.5872E+16
0.00 0 Aerosol_63.4mym 2.5872E+16
0.00 0 Aerosol_68.7mym 2.5872E+16
0.00 0 Aerosol_74.5mym 2.5872E+16
0.00 0 Aerosol_80.9mym 2.5872E+16
0.00 0 Aerosol_87.9mym 2.5872E+16
0.00 0 Aerosol_95.6mym 2.5872E+16
0.00 0 Aerosol_104.1mym 2.5872E+16
0.00 0 Aerosol_113.5mym 2.5872E+16
0.00 0 Aerosol_124.1mym 2.5872E+16
0.00 0 Aerosol_135.9mym 2.5872E+16
0.00 0 Aerosol_149.2mym 2.5872E+16
0.00 0 Aerosol_164.3mym 2.5872E+16
0.00 0 Aerosol_181.7mym 2.5872E+16
0.00 0 Aerosol_201.7mym 2.5872E+16
0.00 0 Aerosol_225.1mym 2.5872E+16
0.00 0 Aerosol_252.8mym 2.5872E+16
0.00 0 Aerosol_286.0mym 2.5872E+16
0.00 0 Aerosol_326.8mym 2.5872E+16
0.00 0 Aerosol_377.8mym 2.5872E+16
0.00 0 Aerosol_443.7mym 2.5872E+16
0.00 0 Aerosol_532.6mym 2.5872E+16
0.00 0 Aerosol_659.6mym 2.5872E+16
0.00 0 Aerosol_858.8mym 2.5872E+16
0.00 566 Aerosol_1.1mym 0.0000E+00
0.00 566 Aerosol_2.3mym 2.5872E+16
0.00 566 Aerosol_3.5mym 2.5872E+16
0.00 566 Aerosol_4.6mym 2.5872E+16
0.00 566 Aerosol_5.7mym 2.5872E+16
0.00 566 Aerosol_6.9mym 2.5872E+16
0.00 566 Aerosol_8.2mym 2.5872E+16
0.00 566 Aerosol_9.5mym 2.5872E+16
0.00 566 Aerosol_10.9mym 2.5872E+16
0.00 566 Aerosol_12.3mym 2.5872E+16
0.00 566 Aerosol_13.9mym 2.5872E+16
0.00 566 Aerosol_15.5mym 2.5872E+16
0.00 566 Aerosol_17.3mym 2.5872E+16
0.00 566 Aerosol_19.1mym 2.5872E+16
0.00 566 Aerosol_21.1mym 2.5872E+16
0.00 566 Aerosol_23.1mym 2.5872E+16
0.00 566 Aerosol_25.4mym 2.5872E+16
0.00 566 Aerosol_27.7mym 2.5872E+16
0.00 566 Aerosol_30.3mym 2.5872E+16
0.00 566 Aerosol_33.0mym 2.5872E+16
0.00 566 Aerosol_35.9mym 2.5872E+16
0.00 566 Aerosol_39.0mym 2.5872E+16
0.00 566 Aerosol_42.3mym 2.5872E+16
0.00 566 Aerosol_45.9mym 2.5872E+16
0.00 566 Aerosol_49.8mym 2.5872E+16
0.00 566 Aerosol_54.0mym 2.5872E+16
0.00 566 Aerosol_58.5mym 2.5872E+16
0.00 566 Aerosol_63.4mym 2.5872E+16
0.00 566 Aerosol_68.7mym 2.5872E+16
0.00 566 Aerosol_74.5mym 2.5872E+16
0.00 566 Aerosol_80.9mym 2.5872E+16
0.00 566 Aerosol_87.9mym 2.5872E+16
0.00 566 Aerosol_95.6mym 2.5872E+16
0.00 566 Aerosol_104.1mym 2.5872E+16
0.00 566 Aerosol_113.5mym 2.5872E+16
0.00 566 Aerosol_124.1mym 2.5872E+16
0.00 566 Aerosol_135.9mym 2.5872E+16
0.00 566 Aerosol_149.2mym 2.5872E+16
0.00 566 Aerosol_164.3mym 2.5872E+16
0.00 566 Aerosol_181.7mym 2.5872E+16
0.00 566 Aerosol_201.7mym 2.5872E+16
0.00 566 Aerosol_225.1mym 2.5872E+16
0.00 566 Aerosol_252.8mym 2.5872E+16
0.00 566 Aerosol_286.0mym 2.5872E+16
0.00 566 Aerosol_326.8mym 2.5872E+16
0.00 566 Aerosol_377.8mym 2.5872E+16
0.00 566 Aerosol_443.7mym 2.5872E+16
0.00 566 Aerosol_532.6mym 2.5872E+16
0.00 566 Aerosol_659.6mym 2.5872E+16
0.00 566 Aerosol_858.8mym 2.5872E+16
0.00 1132 Aerosol_1.1mym 0.0000E+00
0.00 1132 Aerosol_2.3mym 2.5872E+16
0.00 1132 Aerosol_3.5mym 2.5872E+16
0.00 1132 Aerosol_4.6mym 2.5872E+16
0.00 1132 Aerosol_5.7mym 2.5872E+16
0.00 1132 Aerosol_6.9mym 2.5872E+16
0.00 1132 Aerosol_8.2mym 2.5872E+16
0.00 1132 Aerosol_9.5mym 2.5872E+16
0.00 1132 Aerosol_10.9mym 2.5872E+16
0.00 1132 Aerosol_12.3mym 2.5872E+16
0.00 1132 Aerosol_13.9mym 2.5872E+16
0.00 1132 Aerosol_15.5mym 2.5872E+16
0.00 1132 Aerosol_17.3mym 2.5872E+16
0.00 1132 Aerosol_19.1mym 2.5872E+16
0.00 1132 Aerosol_21.1mym 2.5872E+16
0.00 1132 Aerosol_23.1mym 2.5872E+16
0.00 1132 Aerosol_25.4mym 2.5872E+16
0.00 1132 Aerosol_27.7mym 2.5872E+16
0.00 1132 Aerosol_30.3mym 2.5872E+16
0.00 1132 Aerosol_33.0mym 2.5872E+16
0.00 1132 Aerosol_35.9mym 2.5872E+16
0.00 1132 Aerosol_39.0mym 2.5872E+16
0.00 1132 Aerosol_42.3mym 2.5872E+16
0.00 1132 Aerosol_45.9mym 2.5872E+16
0.00 1132 Aerosol_49.8mym 2.5872E+16
0.00 1132 Aerosol_54.0mym 2.5872E+16
0.00 1132 Aerosol_58.5mym 2.5872E+16
0.00 1132 Aerosol_63.4mym 2.5872E+16
0.00 1132 Aerosol_68.7mym 2.5872E+16
0.00 1132 Aerosol_74.5mym 2.5872E+16
0.00 1132 Aerosol_80.9mym 2.5872E+16
0.00 1132 Aerosol_87.9mym 2.5872E+16
0.00 1132 Aerosol_95.6mym 2.5872E+16
0.00 1132 Aerosol_104.1mym 2.5872E+16
0.00 1132 Aerosol_113.5mym 2.5872E+16
0.00 1132 Aerosol_124.1mym 2.5872E+16
0.00 1132 Aerosol_135.9mym 2.5872E+16
0.00 1132 Aerosol_149.2mym 2.5872E+16
0.00 1132 Aerosol_164.3mym 2.5872E+16
0.00 1132 Aerosol_181.7mym 2.5872E+16
0.00 1132 Aerosol_201.7mym 2.5872E+16
0.00 1132 Aerosol_225.1mym 2.5872E+16
0.00 1132 Aerosol_252.8mym 2.5872E+16
0.00 1132 Aerosol_286.0mym 2.5872E+16
0.00 1132 Aerosol_326.8mym 2.5872E+16
0.00 1132 Aerosol_377.8mym 2.5872E+16
0.00 1132 Aerosol_443.7mym 2.5872E+16
0.00 1132 Aerosol_532.6mym 2.5872E+16
0.00 1132 Aerosol_659.6mym 2.5872E+16
0.00 1132 Aerosol_858.8mym 2.5872E+16
0.00 1698 Aerosol_1.1mym 0.0000E+00
0.00 1698 Aerosol_2.3mym 6.4680E+16
0.00 1698 Aerosol_3.5mym 6.4680E+16
0.00 1698 Aerosol_4.6mym 6.4680E+16
0.00 1698 Aerosol_5.7mym 6.4680E+16
0.00 1698 Aerosol_6.9mym 6.4680E+16
0.00 1698 Aerosol_8.2mym 6.4680E+16
0.00 1698 Aerosol_9.5mym 6.4680E+16
0.00 1698 Aerosol_10.9mym 6.4680E+16
0.00 1698 Aerosol_12.3mym 6.4680E+16
0.00 1698 Aerosol_13.9mym 6.4680E+16
0.00 1698 Aerosol_15.5mym 6.4680E+16
0.00 1698 Aerosol_17.3mym 6.4680E+16
0.00 1698 Aerosol_19.1mym 6.4680E+16
0.00 1698 Aerosol_21.1mym 6.4680E+16
0.00 1698 Aerosol_23.1mym 6.4680E+16
0.00 1698 Aerosol_25.4mym 6.4680E+16
0.00 1698 Aerosol_27.7mym 6.4680E+16
0.00 1698 Aerosol_30.3mym 6.4680E+16
