*runtime[h] lower[m] comp release[Bq/s]
0.50 976 Aerosol_1000.0mym 2.2903E+15
0.50 1301 Aerosol_2.3mym 5.1862E+15
0.50 1301 Aerosol_4.6mym 5.1862E+15
0.50 1301 Aerosol_6.9mym 5.1862E+15
0.50 1301 Aerosol_9.2mym 5.1862E+15
0.50 1301 Aerosol_11.5mym 5.1862E+15
0.50 1301 Aerosol_12.9mym 2.0745E+16
0.50 1301 Aerosol_14.3mym 2.0745E+16
0.50 1301 Aerosol_15.7mym 2.0745E+16
0.50 1301 Aerosol_17.1mym 2.0745E+16
0.50 1301 Aerosol_18.5mym 2.0745E+16
0.50 1301 Aerosol_20.6mym 4.4083E+16
0.50 1301 Aerosol_22.7mym 4.4083E+16
0.50 1301 Aerosol_24.8mym 4.4083E+16
0.50 1301 Aerosol_26.9mym 4.4083E+16
0.50 1301 Aerosol_29.0mym 4.4083E+16
0.50 1301 Aerosol_32.2mym 6.4828E+16
0.50 1301 Aerosol_35.4mym 6.4828E+16
0.50 1301 Aerosol_38.6mym 6.4828E+16
0.50 1301 Aerosol_41.8mym 6.4828E+16
0.50 1301 Aerosol_45.0mym 6.4828E+16
0.50 1301 Aerosol_50.2mym 6.2235E+16
0.50 1301 Aerosol_55.4mym 6.2235E+16
0.50 1301 Aerosol_60.6mym 6.2235E+16
0.50 1301 Aerosol_65.8mym 6.2235E+16
0.50 1301 Aerosol_71.0mym 6.2235E+16
0.50 1301 Aerosol_80.8mym 4.4083E+16
0.50 1301 Aerosol_90.6mym 4.4083E+16
0.50 1301 Aerosol_100.4mym 4.4083E+16
0.50 1301 Aerosol_110.2mym 4.4083E+16
0.50 1301 Aerosol_120.0mym 4.4083E+16
0.50 1301 Aerosol_146.0mym 1.5559E+16
0.50 1301 Aerosol_172.0mym 1.5559E+16
0.50 1301 Aerosol_198.0mym 1.5559E+16
0.50 1301 Aerosol_224.0mym 1.5559E+16
0.50 1301 Aerosol_250.0mym 1.5559E+16
0.50 1301 Aerosol_400.0mym 2.5931E+15
0.50 1301 Aerosol_550.0mym 2.5931E+15
0.50 1301 Aerosol_700.0mym 2.5931E+15
0.50 1301 Aerosol_850.0mym 2.5931E+15
0.50 1301 Aerosol_1000.0mym 2.5931E+15
0.50 1626 Aerosol_2.3mym 5.8107E+15
0.50 1626 Aerosol_4.6mym 5.8107E+15
0.50 1626 Aerosol_6.9mym 5.8107E+15
0.50 1626 Aerosol_9.2mym 5.8107E+15
0.50 1626 Aerosol_11.5mym 5.8107E+15
0.50 1626 Aerosol_12.9mym 2.3243E+16
0.50 1626 Aerosol_14.3mym 2.3243E+16
0.50 1626 Aerosol_15.7mym 2.3243E+16
0.50 1626 Aerosol_17.1mym 2.3243E+16
0.50 1626 Aerosol_18.5mym 2.3243E+16
0.50 1626 Aerosol_20.6mym 4.9391E+16
0.50 1626 Aerosol_22.7mym 4.9391E+16
0.50 1626 Aerosol_24.8mym 4.9391E+16
0.50 1626 Aerosol_26.9mym 4.9391E+16
0.50 1626 Aerosol_29.0mym 4.9391E+16
0.50 1626 Aerosol_32.2mym 7.2634E+16
0.50 1626 Aerosol_35.4mym 7.2634E+16
0.50 1626 Aerosol_38.6mym 7.2634E+16
0.50 1626 Aerosol_41.8mym 7.2634E+16
0.50 1626 Aerosol_45.0mym 7.2634E+16
0.50 1626 Aerosol_50.2mym 6.9729E+16
0.50 1626 Aerosol_55.4mym 6.9729E+16
0.50 1626 Aerosol_60.6mym 6.9729E+16
0.50 1626 Aerosol_65.8mym 6.9729E+16
0.50 1626 Aerosol_71.0mym 6.9729E+16
0.50 1626 Aerosol_80.8mym 4.9391E+16
0.50 1626 Aerosol_90.6mym 4.9391E+16
0.50 1626 Aerosol_100.4mym 4.9391E+16
0.50 1626 Aerosol_110.2mym 4.9391E+16
0.50 1626 Aerosol_120.0mym 4.9391E+16
0.50 1626 Aerosol_146.0mym 1.7432E+16
0.50 1626 Aerosol_172.0mym 1.7432E+16
0.50 1626 Aerosol_198.0mym 1.7432E+16
0.50 1626 Aerosol_224.0mym 1.7432E+16
0.50 1626 Aerosol_250.0mym 1.7432E+16
0.50 1626 Aerosol_400.0mym 2.9054E+15
0.50 1626 Aerosol_550.0mym 2.9054E+15
0.50 1626 Aerosol_700.0mym 2.9054E+15
0.50 1626 Aerosol_850.0mym 2.9054E+15
0.50 1626 Aerosol_1000.0mym 2.9054E+15
0.50 1952 Aerosol_2.3mym 6.3995E+15
0.50 1952 Aerosol_4.6mym 6.3995E+15
0.50 1952 Aerosol_6.9mym 6.3995E+15
0.50 1952 Aerosol_9.2mym 6.3995E+15
0.50 1952 Aerosol_11.5mym 6.3995E+15
0.50 1952 Aerosol_12.9mym 2.5598E+16
0.50 1952 Aerosol_14.3mym 2.5598E+16
0.50 1952 Aerosol_15.7mym 2.5598E+16
0.50 1952 Aerosol_17.1mym 2.5598E+16
0.50 1952 Aerosol_18.5mym 2.5598E+16
0.50 1952 Aerosol_20.6mym 5.4396E+16
0.50 1952 Aerosol_22.7mym 5.4396E+16
0.50 1952 Aerosol_24.8mym 5.4396E+16
0.50 1952 Aerosol_26.9mym 5.4396E+16
0.50 1952 Aerosol_29.0mym 5.4396E+16
0.50 1952 Aerosol_32.2mym 7.9994E+16
0.50 1952 Aerosol_35.4mym 7.9994E+16
0.50 1952 Aerosol_38.6mym 7.9994E+16
0.50 1952 Aerosol_41.8mym 7.9994E+16
0.50 1952 Aerosol_45.0mym 7.9994E+16
0.50 1952 Aerosol_50.2mym 7.6795E+16
0.50 1952 Aerosol_55.4mym 7.6795E+16
0.50 1952 Aerosol_60.6mym 7.6795E+16
0.50 1952 Aerosol_65.8mym 7.6795E+16
0.50 1952 Aerosol_71.0mym 7.6795E+16
0.50 1952 Aerosol_80.8mym 5.4396E+16
0.50 1952 Aerosol_90.6mym 5.4396E+16
0.50 1952 Aerosol_100.4mym 5.4396E+16
0.50 1952 Aerosol_110.2mym 5.4396E+16
0.50 1952 Aerosol_120.0mym 5.4396E+16
0.50 1952 Aerosol_146.0mym 1.9199E+16
0.50 1952 Aerosol_172.0mym 1.9199E+16
0.50 1952 Aerosol_198.0mym 1.9199E+16
0.50 1952 Aerosol_224.0mym 1.9199E+16
0.50 1952 Aerosol_250.0mym 1.9199E+16
0.50 1952 Aerosol_400.0mym 3.1998E+15
0.50 1952 Aerosol_550.0mym 3.1998E+15
0.50 1952 Aerosol_700.0mym 3.1998E+15
0.50 1952 Aerosol_850.0mym 3.1998E+15
0.50 1952 Aerosol_1000.0mym 3.1998E+15
0.50 2277 Aerosol_2.3mym 7.0053E+15
0.50 2277 Aerosol_4.6mym 7.0053E+15
0.50 2277 Aerosol_6.9mym 7.0053E+15
0.50 2277 Aerosol_9.2mym 7.0053E+15
0.50 2277 Aerosol_11.5mym 7.0053E+15
0.50 2277 Aerosol_12.9mym 2.8021E+16
0.50 2277 Aerosol_14.3mym 2.8021E+16
0.50 2277 Aerosol_15.7mym 2.8021E+16
0.50 2277 Aerosol_17.1mym 2.8021E+16
0.50 2277 Aerosol_18.5mym 2.8021E+16
0.50 2277 Aerosol_20.6mym 5.9545E+16
0.50 2277 Aerosol_22.7mym 5.9545E+16
0.50 2277 Aerosol_24.8mym 5.9545E+16
0.50 2277 Aerosol_26.9mym 5.9545E+16
0.50 2277 Aerosol_29.0mym 5.9545E+16
0.50 2277 Aerosol_32.2mym 8.7566E+16
0.50 2277 Aerosol_35.4mym 8.7566E+16
0.50 2277 Aerosol_38.6mym 8.7566E+16
0.50 2277 Aerosol_41.8mym 8.7566E+16
0.50 2277 Aerosol_45.0mym 8.7566E+16
0.50 2277 Aerosol_50.2mym 8.4063E+16
0.50 2277 Aerosol_55.4mym 8.4063E+16
0.50 2277 Aerosol_60.6mym 8.4063E+16
0.50 2277 Aerosol_65.8mym 8.4063E+16
0.50 2277 Aerosol_71.0mym 8.4063E+16
0.50 2277 Aerosol_80.8mym 5.9545E+16
0.50 2277 Aerosol_90.6mym 5.9545E+16
0.50 2277 Aerosol_100.4mym 5.9545E+16
0.50 2277 Aerosol_110.2mym 5.9545E+16
0.50 2277 Aerosol_120.0mym 5.9545E+16
0.50 2277 Aerosol_146.0mym 2.1016E+16
0.50 2277 Aerosol_172.0mym 2.1016E+16
0.50 2277 Aerosol_198.0mym 2.1016E+16
0.50 2277 Aerosol_224.0mym 2.1016E+16
0.50 2277 Aerosol_250.0mym 2.1016E+16
0.50 2277 Aerosol_400.0mym 3.5026E+15
0.50 2277 Aerosol_550.0mym 3.5026E+15
0.50 2277 Aerosol_700.0mym 3.5026E+15
0.50 2277 Aerosol_850.0mym 3.5026E+15
0.50 2277 Aerosol_1000.0mym 3.5026E+15
0.50 2602 Aerosol_2.3mym 7.6354E+15
0.50 2602 Aerosol_4.6mym 7.6354E+15
0.50 2602 Aerosol_6.9mym 7.6354E+15
0.50 2602 Aerosol_9.2mym 7.6354E+15
0.50 2602 Aerosol_11.5mym 7.6354E+15
0.50 2602 Aerosol_12.9mym 3.0541E+16
0.50 2602 Aerosol_14.3mym 3.0541E+16
0.50 2602 Aerosol_15.7mym 3.0541E+16
0.50 2602 Aerosol_17.1mym 3.0541E+16
0.50 2602 Aerosol_18.5mym 3.0541E+16
0.50 2602 Aerosol_20.6mym 6.4901E+16
0.50 2602 Aerosol_22.7mym 6.4901E+16
0.50 2602 Aerosol_24.8mym 6.4901E+16
0.50 2602 Aerosol_26.9mym 6.4901E+16
0.50 2602 Aerosol_29.0mym 6.4901E+16
0.50 2602 Aerosol_32.2mym 9.5442E+16
0.50 2602 Aerosol_35.4mym 9.5442E+16
0.50 2602 Aerosol_38.6mym 9.5442E+16
0.50 2602 Aerosol_41.8mym 9.5442E+16
0.50 2602 Aerosol_45.0mym 9.5442E+16
0.50 2602 Aerosol_50.2mym 9.1624E+16
0.50 2602 Aerosol_55.4mym 9.1624E+16
0.50 2602 Aerosol_60.6mym 9.1624E+16
0.50 2602 Aerosol_65.8mym 9.1624E+16
