FOI-R--0054--SE,,https://inis.iaea.org/collection/NCLCollectionStore/_Public/32/055/32055989.pdf,,,,,,,,,,,
Table 2 The primary set of nuclides that eventually may deposit on the ground.,,,,,,,,,,,,,
Nuclide,"Half-life
h",Cumulative fission yield %,Bq/fission t=0h,Bq/fission t=l0h,Bq/fission t=20h,Bq/fission t=30h,Bq/fission t=40h,,% of total t=0,% of total t=10,% of total t=20,% of total t=30,% of total t=40
La-140,4.03E+01,0.00E+00,0.00E+00,6.08E-09,1.11E-08,1.51E-08,1.84E-08,,0.00,0.10,0.37,0.81,1.37
Pm-149,5.30E+01,1.08E-02,3.92E-08,3.44E-08,3.02E-08,2.65E-08,2.32E-08,,0.18,0.55,1.00,1.42,1.73
Y-90,6.41E-4-01,0.00E+00,0.00E+00,4.47E-12,8.49E-12,1.21E-11,1.53E-11,,0.0000,0.0001,0.0003,0.0006,0.0011
Mo-99,6.60E+01,6.11E-02,1.78E-07,1.60E-07,1.44E-07,1.30E-07,1.17E-07,,0.81,2.55,4.77,6.95,8.73
Te-132,7.80E+01,4.30E-02,1.06E-07,9.70E-08,8.87E-08,8.12E-08,7.43E-08,,0.48,1.54,2.94,4.34,5.54
1-131,1.93E+02,2.89E-02,2.88E-08,2.78E-08,2.68E-08,2.59E-08,2.49E-08,,0.13,0.44,0.89,1.39,1.86
Nd-147,2.64E+02,2.25E-02,1.64E-08,1.60E-08,1.56E-08,1.52E-08,1.48E-08,,0.07,0.25,0.52,0.81,1.10
Ba-140,3.07E+02,6.21E-02,3.89E-08,3.80E-08,3.72E-08,3.64E-08,3.55E-08,,0.18,0.61,1.23,1.95,2.65
Pr-143,3.26E+02,0.00E+00,0.00E+00,6.57E-09,1.18E-08,1.58E-08,1.90E-08,,0.00,0.10,0.39,0.84,1.42
Ce-141,7.80E+02,0.00E+00,0.00E+00,1.19E-08,1.38E-08,1.40E-08,1.40E-08,,0.00,0.19,0.46,0.75,1.04
Nb-95,8.40E+02,0.00E+00,0.00E+00,6.66E-11,1.32E-10,1.97E-10,2.61E-10,,0.00,0.00,0.00,0.01,0.02
Ru-103,9.43E+02,3.03E-02,6.19E-09,6.14E-09,6.10E-09,6.06E-09,6.01E-09,,0.03,0.10,0.20,0.32,0.45
Sr-89,1.21E+03,4.73E-02,7.51E-09,7.51E-09,7.51E-09,7.51E-09,7.51E-09,,0.03,0.12,0.25,0.40,0.56
Y-91,1.40E+03,0.00E+00,0.00E+00,4.12E-09,6.08E-09,7.01E-09,7.43E-09,,0.00,0.07,0.20,0.37,0.55
Zr-95,1.54E+03,6.50E-02,8.15E-09,8.11E-09,8.08E-09,8.04E-09,8.00E-09,,0.04,0.13,0.27,0.43,0.60
Ce-144,6.84E+03,5.50E-02,1.55E-09,1.55E-09,1.55E-09,1.55E-09,1.55E-09,,0.01,0.02,0.05,0.08,0.12
Sr-90,2.55E+05,5.78E-02,4.37E-11,4.37E-11,4.37E-11,4.37E-11,4.37E-11,,0.0002,0.0007,0.0014,0.0023,0.0033
Cs-137,2.65E+05,6.19E-02,4.51E-11,4.51E-11,4.51E-11,4.51E-11,4.51E-11,,0.0002,0.0007,0.0015,0.0024,0.0034
Total,,,2.20E-05,6.28E-06,3.02E-06,1.87E-06,1.34E-06,,99.97,99.93,100.14,100.20,99.79
sum,,,2.20E-05,6.28E-06,3.02E-06,1.87E-06,1.34E-06,,,,,,
