SiteName|Country|lon|lat|Status
Oldbury|GB|-2.5708|51.6489|O
Torness|GB|-2.409167|55.968056|O
Wylfa|GB|-4.483|53.417|S
Phenix|FR|4.711667|44.143333|S
Superphenix|FR|5.472222|45.758333|S
Doel|BE|4.258611|51.324722|O
Tihange|BE|5.2725|50.534722|O
Borssele|NL|3.718333|51.430833|O
Leibstadt|CH|8.184722|47.603056|O
JOSE CABRERA|ES|-2.884444|40.349167|S
BRUNSBUETTEL (KKB)|DE|9.201667|53.891667|S
GRAFENRHEINFELD (KKG)|DE|10.184722|49.983889|S 
GROHNDE (KWG)|DE|9.413333|52.035278|S
Isar|DE|12.293056|48.605556|O
KRUEMMEL (KKK)|DE|10.408889|53.41|S 
NECKARWESTHEIM|DE|9.175|49.041667|O
OBRIGHEIM (KWO)|DE|9.076389|49.364444|O
Philippsburg|DE|8.436389|49.2525|S 
STADE (KKS)|DE|9.530833|53.62|S
Gundremmingen|DE|10.402222|48.514722|S
Cernavoda|RO|28.057222|44.322222|O
Dukovany|CZ|16.148889|49.085|O
Sizewell A|GB|1.61972|52.215|S
Sizewell B|GB|1.618611|52.213333|O
Sizewell C|GB|1.61972|52.215|O
Hunterston A|GB|-4.896667|55.720278|S
Hunterston B|GB|-4.8901|55.7221|S 
Darlington|CA|-78.719722|43.872778|O
Braidwood|US|-88.229167|41.243611|O
Calvert Cliffs|US|-76.442222|38.431944|O
CHASNUPP|PK|71.4625|32.390278|O
Chashma|PK|71.4625|32.390278|O
Chin Shan|TW|121.5875|25.286111|S 
FUGEN ATR|JP|136.016389|35.754444|S
Gentilly|CA|-72.356944|46.395833|S
Daya Bay (Guangdong)|CN|114.543611|22.597778|O
Ling Ao (Guangdong)|CN|114.551389|22.604722|O
Kaiga|IN|74.439444|14.865278|O
Kakrapar|IN|73.35|21.238611|O
Madras (Kalpakkam)|IN|80.175|12.5575|O
KANUPP (Karachi)|PK|66.78825|24.847167|O
Koeberg|ZA|18.431944|-33.676389|O
Kori|KR|129.3|35.316944|O
Kuosheng|TW|121.662778|25.203056|O
Mochovce|SK|18.456944|48.263889|O
Maanshan|TW|120.751667|21.958056|O
Narora|IN|78.409444|28.158056|O
North Anna|US|-77.789444|38.060556|O
Oconee|US|-82.898056|34.793889|O
Ohi|JP|135.651944|35.540556|O
Oyster Creek|US|-74.205|39.814722|S 
Point Lepreau|CA|-66.454722|45.068889|O
Qinshan|CN|120.956389|30.435556|O
Rajasthan|IN|75.613889|24.872222|O
Seabrook|US|-70.850833|42.898889|O
Sendai|JP|130.189722|31.833611|O
Surry|US|-76.697778|37.165556|O
Tarapur|IN|72.661111|19.827778|O
Temelin|CZ|14.376111|49.18|O
Hanul (Ulchin)|KR|129.383611|37.092778|O
Wolf Creek|US|-95.688889|38.238889|O
Wolseong|KR|129.475|35.711111|O
Wppss-2 (Columbia Generating Station)|US|-119.333889|46.471111|O
Hanbit (Yonggwang)|KR|126.423889|35.415|O
BUSHEHR|IR|50.886111|28.829722|O 
DOUNREAY|GB|-3.7523|58.5781|S
Halden|NO|11.4036|59.1269|S
HIGASHIDORI|JP|141.390278|41.188056|O
Kjeller|NO|11.051944|59.97444|S
Haakonsvern|NO|5.219|60.34|S
Grotsund|NO|19.14|69.75|S
La Hague|FR|-1.879444|49.678333|O
LING AO|CN|114.551389|22.604722|O
LUNGMEN|TW|121.924167|25.038611|NULL 
MOL|BE|5.093236|51.218524|NULL
NPD|CA|-77.657778|46.186667|S
Risoe|DK|12.1|55.693|NULL
Sinpo|KP|128.1677777|40.0333|S
Swierk (Maria reactor)|PL|21.3439|52.1228|O
TIANWAN|CN|119.459722|34.686944|O
WINFRITH SGHWR|GB|-2.261|50.682|S
AKTAU|KZ|51.283321|43.606748|S
BERKELEY|GB|-2.4936|51.6925|S
CAORSO|IT|9.872222|45.072222|S
CREYS-MALVILLE (Superphenix)|FR|5.472222|45.758333|S
DODEWAARD|NL|5.68611|51.89944|S
TRAWSFYNYDD|GB|-3.948439|52.924864|S
CADARACHE|FR|5.761944|43.6875|O
Akademik Lomonosov|RU|170.3061|69.7097|O 
Barakah|UAE|52.283611|23.985|O
Belarusian|BY|26.12|54.761944|O
Changjiang|CN|108.9|19.460278|O
Fangchenggang|CN|108.563056|21.666667|O
Fangjiashan|CN|120.941667|30.441389|O
Fuqing|CN|119.446111|25.444167|O
Haiyang|CN|121.381667|36.709167|O
Hongyanhe|CN|121.471944|39.797778|O
Kudankulam|IN|77.7125|8.168333|O 
Leningrad II|RU|29.057222|59.830556|O
Ningde|CN|120.288333|27.046111|O
Rostov|RU|42.371944|47.599444|O
Volgodonsk|RU|42.371944|47.599444|O
Sanmen|CN|121.639722|29.101111|O
Shidao Bay|CN|122.528889|36.972222|O
Taishan|CN|112.979167|21.909444|O
Yangjiang|CN|112.260556|21.709722|O
San'ao|CN|120.51252|27.20158|F
Ohma (Aomori)|JP|140.910278|41.509722|F
Zhangzhou|CN|117.491667|23.829167|O  
Xudabao|CN|120.546389|40.351389|F
Rooppur|BD|89.047222|24.066667|F 
El Dabaa|EG|28.497778|31.044167|F
Akkuyu|TR|33.541111|36.144444|F 
