SiteName|Country|lon|lat|Status
ALMARAZ|ES|-5.696944|39.808056|O
ANGRA|BR|-44.473889|-23.008333|O
ARKANSAS|US|-93.231389|35.310278|O
ANO|US|-93.231389|35.310278|O
ARMENIA (METSAMOR)|AM|44.148889|40.180833|O
ASCO|ES|0.569444|41.2|O 
ATUCHA|AR|-59.205|-33.9675|O
BARSEBECK|SE|12.920833|55.744444|S
BEAVER VALLEY|US|-80.430556|40.623333|O
BELLEVILLE|FR|2.875|47.509722|O
BEZNAU|CH|8.228492|47.552107|O
BIBLIS|DE|8.415278|49.71|S
BIG ROCK POINT|US|-85.197222|45.358889|S
BLAYAIS|FR|-0.693056|45.255833|O
BROKDORF (KBR)|DE|9.344722|53.850833|S
BROWNS FERRY|US|-87.118611|34.703889|O
BRUCE|CA|-81.599444|44.325278|O
BRUNSWICK|US|-78.010278|33.958333|O
BUGEY|FR|5.270833|45.8|O
BYRON|US|-89.281944|42.074167|O
CALLAWAY|US|-91.78|38.761667|O
CATAWBA|US|-81.07|35.051667|O
CATTENOM|FR|6.218056|49.415833|O
Chalk River|CA|-77.361002|46.050242|NULL
CHERNOBYL|UA|30.099167|51.389444|S
CHINON|FR|0.170556|47.230556|O
CHOOZ|FR|4.789444|50.09|O
CIVAUX|FR|0.652778|46.456667|O
CLINTON|US|-88.835|40.172222|O
COFRENTES|ES|-1.05|39.216667|O
COLUMBIA|US|-119.333889|46.471111|NULL
COMANCHE PEAK|US|-97.785|32.298333|O
COOPER|US|-95.641389|40.361944|O
CRUAS|FR|4.756667|44.633056|O
CRYSTAL RIVER|US|-82.698333|28.9575|S
DAMPIERRE|FR|2.516667|47.733056|O
DAVIS BESSE|US|-83.086389|41.596667|O
DIABLO CANYON|US|-120.856111|35.210833|O
DONALD COOK|US|-86.565833|41.975278|O
DRESDEN|US|-88.268056|41.389722|O
DUANE ARNOLD|US|-91.777222|42.100556|O
EMBALSE|AR|-64.443|-32.232|O
EMSLAND (KKE)|DE|7.317778|52.474167|O
ENRICO FERMI|US|-83.2575|41.962778|O
FARLEY|US|-85.111667|31.223056|O
FESSENHEIM|FR|7.563056|47.903056|S
FITZPATRICK|US|-76.398333|43.523333|O
FLAMANVILLE|FR|-1.881667|49.536389|O
FORSMARK|SE|18.166667|60.403333|O
FORT CALHOUN|US|-96.077222|41.520278|S
FORT ST. VRAIN|US|-104.874167|40.244444|S
FUKUSHIMA-Daiichi|JP|141.0325|37.421389|S
FUKUSHIMA-Daini|JP|141.021111|37.319444|S
GENKAI|JP|129.837222|33.515556|O
GOESGEN|CH|7.966667|47.365833|O
GOLFECH|FR|0.845278|44.106667|O
GRAND GULF|US|-91.048333|32.006667|O
GRAVELINES|FR|2.136111|51.015278|O
GREIFSWALD|DE|13.664444|54.140556|S
H.B. ROBINSON|US|-80.158333|34.402778|O
HADDAM NECK|US|-72.498333|41.482222|S
HAMAOKA|JP|138.1425|34.623611|O
HATCH|US|-82.343889|31.934167|O
HOPE CREEK|US|-75.538056|39.467778|O
IGNALINA|LT|26.56|55.604444|S
IKATA|JP|132.311389|33.490833|O
INDIAN POINT|US|-73.952222|41.269722|S
KASHIWAZAKI KARIWA|JP|138.595278|37.429167|O
KEWAUNEE|US|-87.536111|44.342222|S
KHMELNITSKI|UA|26.649722|50.301389|O
Kyiv NASU|UA|30.53163829566795|50.3865796466927|O
LAGUNA VERDE|MX|-96.406389|19.720833|O
LASALLE|US|-88.669167|41.245556|O
LENINGRAD|RU|29.043611|59.847222|O
LIMERICK|US|-75.587222|40.226667|O
LOVIISA|FI|26.347222|60.372222|O
MAINE YANKEE|US|-69.695833|43.950556|S
MCGUIRE|US|-80.948333|35.4325|O
MIHAMA|JP|135.963333|35.703333|O
MILLSTONE|US|-72.168611|41.311944|O
MONJU|JP|135.988056|35.740278|S
MONTICELLO|US|-93.849167|45.333611|O
MUEHLEBERG|CH|7.268056|46.968889|O
NINE MILE POINT|US|-76.406944|43.520833|O
NOGENT|FR|3.517778|48.515278|O
OLKILUOTO|FI|21.440833|61.236944|O
ONAGAWA|JP|141.499722|38.401111|O
OSKARSHAMN|SE|16.671111|57.415556|O
PALISADES|US|-86.314444|42.322778|S
PALO VERDE|US|-112.865|33.389167|O
PALUEL|FR|0.635556|49.858056|O
PEACH BOTTOM|US|-76.268056|39.758333|O
PENLY|FR|1.211944|49.976667|O
PERRY|US|-81.143333|41.800833|O
PICKERING|CA|-79.065833|43.811667|O
PILGRIM|US|-70.578333|41.945|S
POINT BEACH|US|-87.536667|44.281111|O
PRAIRIE ISLAND|US|-92.633056|44.621667|O
QUAD CITIES|US|-90.31|41.726389|O
R.E. GINNA|US|-77.31|43.277778|O
RANCHO SECO|US|-121.121667|38.345278|S
RINGHALS|SE|12.110833|57.259722|O
RIVER BEND|US|-91.333333|30.756667|O
ROVNO|UA|25.891667|51.327778|O
RIVNE|UA|25.891667|51.327778|O
SALEM|US|-75.535556|39.462778|O
SAN ONOFRE|US|-117.555|33.368889|S
SANTA MARIA DE GARONA|ES|-3.207292|42.7753|S
SEQUOYAH|US|-85.091667|35.226389|O 
SHEARON HARRIS|US|-78.955|35.633333|O
SHIKA|JP|136.726389|37.061111|O
SHIMANE|JP|132.999167|35.538333|O
SOUTH TEXAS|US|-96.048889|28.795556|O
SOUTH UKRAINE|UA|31.216667|47.816667|O
ST. ALBAN|FR|4.754444|45.404444|O
ST. LAURENT|FR|1.5775|47.72|O
ST. LUCIE|US|-80.246389|27.348611|O
SUSQUEHANNA|US|-76.148889|41.088889|O
TAKAHAMA|JP|135.504722|35.522222|O
THREE MILE ISLAND|US|-76.724722|40.153889|S
TOKAI|JP|140.606667|36.466389|O
TOMARI|JP|140.5125|43.036111|O
TRICASTIN|FR|4.732222|44.329722|O
TRILLO|ES|-2.621944|40.701111|O
TROJAN|US|-122.885|46.038333|S
TSURUGA|JP|136.077222|35.672778|O
TURKEY POINT|US|-80.330556|25.434167|O
UNTERWESER (KKU)|DE|8.480278|53.427778|S
VANDELLOS|ES|0.866667|40.951389|O
VERMONT YANKEE|US|-72.513056|42.778889|S
VIRGIL C. SUMMER|US|-81.314722|34.298611|O
VOGTLE|US|-81.765833|33.143056|O
WATERFORD|US|-90.471111|29.995278|O
WATTS BAR|US|-84.789444|35.602778|O
YANKEE NPS|US|-72.929108|42.727839|S
ZAPOROZHE|UA|34.585833|47.512222|O
ZAPORIZHZHYA|UA|34.585833|47.512222|O
ZION|US|-87.803056|42.446389|O
Kola|RU|32.466667|67.466667|O
Smolensk|RU|33.246667|54.169167|O
Kursk|RU|35.605556|51.675|O
Kalinin|RU|35.060278|57.905556|O
Novovoronezh|RU|39.2|51.275|O
Novovoronezh I|RU|39.2|51.275|O
Novovoronezh II|RU|39.21145|51.26499|O 
Bilibino|RU|166.538611|68.050278|O
Balakovo|RU|47.955278|52.091111|O
Beloyarsky|RU|61.3225|56.841667|O
Bohunice|SK|17.681944|48.494444|O
Paks|HU|18.854167|46.5725|O
Kozloduy|BG|23.770556|43.746111|O
Krsko|SI|15.515556|45.938333|O
Bradwell|GB|0.896944|51.741389|S 
Sellafield|GB|-3.4975|54.4205|O
Chapelcross|GB|-3.2261|55.0157|S 
Dungeness|GB|0.963889|50.913889|S 
Hartlepool|GB|-1.180833|54.635|O
Heysham|GB|-2.916111|54.028889|O
Hinkley Point C|GB|-3.143889|51.206111|O
