id,name,point
# generated by 
# import geopandas as gpd
# import pandas as pd
# world = gpd.read_file(gpd.datasets.get_path('naturalearth_lowres'))
# europe=world.cx[-40:70, 25:85]
# centroids = europe.centroid
# centroid_list = pd.concat([europe.name, centroids], axis=1)
# centroid_list.to_csv('europe.csv')
# 
# and manually post-processed for certain points/names
0,Afghanistan,POINT (66.08669022192834 33.85639928169076)
2,Albania,POINT (20.03242643144321 41.14135330604877)
3,United Arab Emirates,POINT (54.20671476159633 23.86863365334761)
5,Armenia,POINT (45.00029001101479 40.21660761230144)
9,Austria,POINT (14.07615888433708 47.61394879274629)
10,Azerbaijan,POINT (47.55390958999187 40.22069060359235)
12,Belgium,POINT (4.580831590651701 50.65244260645211)
16,Bulgaria,POINT (25.19511095327711 42.75311876202169)
18,Bosnia and Herz.,POINT (17.81688342129799 44.18076784138619)
19,Belarus,POINT (27.98135398690368 53.50634440475127)
28,Switzerland,POINT (8.118300613385486 46.79173768366761)
38,N. Cyprus,POINT (33.5582859592249 35.27395768125972)
39,Cyprus,POINT (33.03955380295407 34.90706085094345)
40,Czech Rep.,POINT (15.33455810236581 49.77524529436901)
41,Germany,POINT (10.28848509274289 51.13372269040782)
43,Denmark,POINT (9.87637293767504 56.06393446179454)
45,Algeria,POINT (2.598047791618352 28.18548127865755)
47,Egypt,POINT (29.84446151312439 26.50661999974955)
49,Spain,POINT (-3.617020602387373 40.34865610622673)
50,Estonia,POINT (25.82472837531991 58.64369524070697)
52,Finland,POINT (26.21176469739453 64.50409391856742)
55,France,POINT (-2.880599191403856 42.45771810478766)
57,United Kingdom,POINT (-2.853135395180542 53.91477348053708)
58,Georgia,POINT (43.48154041978168 42.16201869983144)
64,Greece,POINT (22.7198134470951 39.066715899714)
65,Greenland,POINT (-41.50018111492097 74.77048769398986)
69,Croatia,POINT (16.56619110666215 45.01623436797108)
71,Hungary,POINT (19.35762862774592 47.19995117195426)
73,India,POINT (79.5937037632538 22.9250064074085)
74,Ireland,POINT (-8.010236544877012 53.18059120995006)
75,Iran,POINT (54.28545149689144 32.51891731762542)
76,Iraq,POINT (43.75691141871339 33.03682234103672)
77,Iceland,POINT (-18.76102877083177 65.07427633529105)
78,Israel,POINT (35.0038500487362 31.48491781496538)
79,Italy,POINT (12.1407883722359 42.75118305296424)
81,Jordan,POINT (36.77945490632519 31.24549058474842)
83,Kazakhstan,POINT (67.28460860746561 48.19166209249597)
85,Kyrgyzstan,POINT (74.62040481092556 41.50689371318261)
88,Kosovo,POINT (20.8953524811979 42.57936482582593)
89,Kuwait,POINT (47.60009888762642 29.30726663403356)
91,Lebanon,POINT (35.87098632001643 33.91182720781994)
93,Libya,POINT (17.97435277916043 26.99746040702032)
96,Lithuania,POINT (23.88064027584349 55.28431948476604)
97,Luxembourg,POINT (5.965223432343996 49.76570507415101)
98,Latvia,POINT (24.83329614980346 56.80717513427928)
99,Morocco,POINT (-8.420479544549645 29.8853946983021)
100,Moldova,POINT (28.41048279080329 47.20367642606753)
103,Macedonia,POINT (21.69789681614007 41.60592893075937)
106,Montenegro,POINT (19.28618096719827 42.78903833140131)
109,Mauritania,POINT (-10.32639692523499 20.20926720635376)
117,Netherlands,POINT (5.512217100965401 52.2987003744418)
118,Norway,POINT (15.46812612272623 69.1568563971328)
121,Oman,POINT (56.09867281997544 20.61117437422957)
122,Pakistan,POINT (69.4139980631813 29.97346002554739)
127,Poland,POINT (19.31101430844868 52.14826021933183)
130,Portugal,POINT (-8.055765588295687 39.63404977497817)
132,Palestine,POINT (35.27331962289026 31.94113662241515)
133,Qatar,POINT (51.1835025789133 25.32185097420669)
134,Romania,POINT (24.9432524946354 45.85710103573802)
135,Russia,POINT (96.87522325596444 61.98084075071265)
137,W. Sahara,POINT (-12.13783111160781 24.29117296020862)
138,Saudi Arabia,POINT (44.51636376826475 24.12328983910529)
147,Serbia,POINT (20.81965126743019 44.23303720363518)
149,Slovakia,POINT (19.5076571474337 48.7267113517275)
150,Slovenia,POINT (14.93815232079573 46.12542205901038)
151,Sweden,POINT (16.59626584684802 62.81148496808033)
153,Syria,POINT (38.54423941961137 35.012614281129)
157,Tajikistan,POINT (71.03443504896107 38.5830814642108)
158,Turkmenistan,POINT (59.27543026236143 39.09124018017582)
161,Tunisia,POINT (9.534716120695833 34.17293903688238)
162,Turkey,POINT (35.11690130804055 39.06837174141658)
166,Ukraine,POINT (31.36953308035628 48.97301796820209)
169,Uzbekistan,POINT (63.20363952823172 41.74860266465218)
