H-3	0	0	1.7820E-9	12.33158577	[y]	aerosol
Na-24	0.25	0.001	1.2836E-5	14.99688376	[h]	aerosol
Co-58	0.25	0.001	1.1331E-7	70.78663254	[d]	aerosol
Co-60	0.25	0.001	4.1639998E-9	5.27735036	[y]	aerosol
Kr-85m	0	0	4.3839998E-5	4.390967354	[h]	noblegas
Kr-85	0	0	2.026E-9	10.84643921	[y]	noblegas	
Kr-87	0	0	1.5190001E-4	1.267281023	[h]	noblegas
Kr-88	0	0	0.00006857	2.807350153	[h]	noblegas	
Rb-86	0.25	0.001	4.302E-7	18.64442895	[d]	aerosol
Rb-88	0.25	0.001	0.0006418	17.99626052	[m]	aerosol	
Sr-89	1.25	0.002	1.543E-7	51.98206956	[d]	aerosol
Sr-90	1.25	0.002	7.8649998E-10	27.94009714	[y]	aerosol
Sr-91	0.25	0.001	2.0310001E-5	9.478089144	[h]	aerosol
Sr-92	0.25	0.001	7.1050003E-5	2.709359492	[h]	aerosol
Y-90	0.25	0.001	3.008E-6	2.666500443	[d]	aerosol	
Y-91	0.25	0.001	1.369E-7	58.5889944	[d]	aerosol
Zr-95	0.25	0.001	1.234E-7	64.99864938	[d]	aerosol
Zr-97	0.25	0.001	0.00001146	16.79755672	[d]	aerosol
Nb-95	0.25	0.001	2.279E-7	35.19452976	[d]	aerosol	
Mo-99	0.25	0.001	2.8859999E-6	2.779221626	[d]	aerosol
Tc-99m	0.3	0.001	3.1979998E-5	6.019387493	[h]	aerosol
Ru-103	0.395	0.005	2.0260001E-7	39.58950117	[d]	aerosol
Ru-105	0.395	0.005	4.3370001E-5	4.438551892	[h]	aerosol	
Ru-106	0.43	0.005	2.186E-8	1.005255528	[y]	aerosol
Rh-105	0.25	0.001	5.4239999E-6	1.478767235	[d]	aerosol	
Rh-106m	0.25	0.001	8.8319997E-5	2.179574349	[h]	aerosol	
Sb-127	0.25	0.001	2.111E-6	3.799542081	[d]	aerosol	
Sb-129	0.25	0.001	0.00004436	4.339495041	[h]	aerosol	
Te-127m	0.25	0.001	7.3599999E-8	108.9787152	[d]	aerosol	
Te-127	0.25	0.001	0.00002048	9.399414063	[h]	aerosol	
Te-129m	0.25	0.001	2.402E-7	33.39231196	[d]	aerosol
Te-129	0.25	0.001	0.000165	1.166666667	[h]	aerosol		
Te-131m	0.25	0.001	6.4179999E-6	1.249740333	[d]	aerosol
Te-131	0.25	0.001	0.0004621	24.99458992	[m]	aerosol
Te-132	0.41	0.003	2.468E-6	3.249932469	[d]	aerosol
Te-133m	0.25	0.001	0.0002085	55.39568345	[m]	aerosol
Te-133	0.25	0.001	9.2419999E-4	12.49729509	[m]	aerosol
Te-134	0.25	0.001	0.0002751	41.98473282	[m]	aerosol
