# Mastin&al:2009a
# Preliminary spreadsheet of eruption source parameters for volcanoes of the world.
# Open-File Report, U.S. Geological Survey, 2009. Number 2009-1133.
# L.G. Mastin, M. Guffanti, J.E. Ewert and J. Spiegel.
# http://pubs.usgs.gov/of/2009/1133
#NUMBER,RN,SN,VN,NAME,LOCATION,STATUS,LATITUDE,NS,VF,LONGITUDE,EW,ELEV,TYPE,TIMEFRAME,ERUPTION TYPE
0302-00-,03,02,-00-,Unnamed,Iran,Holocene,39.33,N,, 45.17,E,,Volcanic field,U,S0
0302-001,03,02,-001,Sahand,Iran,Holocene,37.75,N,, 46.43,E,3707,Stratovolcano,U,S0
0302-002,03,02,-002,Sabalan,Iran,Holocene,38.25,N,, 47.92,E,4811,Stratovolcano,U,S0
0302-01-,03,02,-01-,Damavand,Iran,Uranium-series,35.951,N,, 52.109,E,5670,Stratovolcano,D7,S0
0302-02-,03,02,-02-,Qaleh_Hasan_Ali,Iran,Holocene?,29.40,N,*, 57.57,E,,Maars,?,M0
0302-03-,03,02,-03-,Bazman,Iran,Fumarolic,28.07,N,, 60.00,E,3490,Stratovolcano,U,S0
0302-04-,03,02,-04-,Unnamed,Iran,Holocene?,28.17,N,*, 60.67,E,,Volcanic field,?,M0
0302-05-,03,02,-05-,Taftan,Iran,Holocene,28.60,N,, 61.13,E,3940,Stratovolcano,U,S0
0302-06-,03,02,-06-,Dacht_i_Navar_Group,Afghanistan,Holocene?,33.95,N,*, 67.92,E,3800,Lava domes,?,S0
0302-07-,03,02,-07-,Vakak_Group,Afghanistan,Holocene?,34.25,N,*, 67.97,E,3190,Volcanic field,?,S0
0303-001,03,03,-001,La_Grille,Indian O.-W,Holocene,11.47,S,, 43.33,E,1087,Shield volcano,U,M0
0303-011,03,03,-011,Ambre_Bobaomby,Madagascar,Holocene,12.60,S,*, 49.15,E,1475,Volcanic field,U,M0
0303-012,03,03,-012,Nosy_Be,Madagascar,Holocene,13.32,S,*, 48.48,E,214,Cinder cones,U,S0
0303-013,03,03,-013,Ankaizina_Field,Madagascar,Holocene,14.30,S,*, 48.67,E,2878,Cinder cones,U,M0
0303-014,03,03,-014,Itasy_volc_field,Madagascar,Radiocarbon,19.00,S,*, 46.77,E,1800,Scoria cones,D7,S0
0303-015,03,03,-015,Ankaratra_Field,Madagascar,Holocene,19.40,S,*, 47.20,E,2644,Cinder cones,U,S0
0303-01=,03,03,-01-,Karthala,Indian O.-W,Historical,11.75,S,, 43.38,E,2361,Shield volcano,D1,M1
0303-02=,03,03,-02-,Fournaise_Piton_de_la,Indian O.-W,Historical,21.231,S,, 55.713,E,2632,Shield volcano,D1,M1
0304-00-,03,04,-00-,Boomerang_Seamount,Indian O.-S,Historical,37.721,S,, 77.825,E,-650,Submarine volcano,D2,U0
0304-001,03,04,-001,Amsterdam_Island,Indian O.-S,Holocene,37.83,S,, 77.52,E,881,Stratovolcano,U,M0
0304-002,03,04,-002,St_Paul,Indian O.-S,Historical,38.72,S,, 77.53,E,268,Stratovolcano,D4,M0
0304-011,03,04,-011,McDonald_Islands,Indian O.-S,Historical,53.03,S,, 72.60,E,230,Complex volcano,D1,S1
0304-01=,03,04,-01-,Heard,Indian O.-S,Historical,53.106,S,, 73.513,E,2745,Stratovolcano,D1,M1
0304-02=,03,04,-02-,Kerguelen_Islands,Indian O.-S,Holocene?,49.58,S,, 69.50,E,1840,Stratovolcanoes,?,S0
0304-03-,03,04,-03-,Ile_de_la_Est,Indian O.-S,Holocene?,46.43,S,, 52.20,E,1090,Stratovolcano,?,M0
0304-04-,03,04,-04-,Ile_de_laPossession,Indian O.-S,Holocene,46.42,S,, 51.75,E,934,Stratovolcano,U,M0
0304-05-,03,04,-05-,Ile_aux_Cochons,Indian O.-S,Holocene,46.10,S,, 50.23,E,775,Stratovolcano,U,M0
0304-06-,03,04,-06-,Prince_Edward_Island,Indian O.,Holocene,46.63,S,, 37.95,E,672,Shield volcano,U,M0
0304-07-,03,04,-07-,Marion_Island,Indian O.-S,Historical,46.90,S,, 37.75,E,1230,Shield volcanoes,D1,M1
0305-01=,03,05,-01-,Unnamed,Indian O.-E,Uncertain,11.75,N,, 80.75,E,,Submarine volcano ?,?,U0
0401-011,04,01,-011,Whangarei,New Zealand,Holocene?,35.75,S,*,174.27,E,397,Cinder cones,?,M0
0401-01=,04,01,-01-,Kaikohe_Bay_of_Islands,New Zealand,Radiocarbon,35.30,S,*,173.90,E,388,Volcanic field,D6,M0
0401-021,04,01,-021,Mayor_Island,New Zealand,Radiocarbon,37.28,S,,176.25,E,355,Shield volcano,D7,S0
0401-02=,04,01,-02-,Auckland_Field,New Zealand,Radiocarbon,36.90,S,*,174.87,E,260,Volcanic field,D6,M0
0401-03=,04,01,-03-,Taranaki_Egmont,New Zealand,Historical,39.30,S,,174.07,E,2518,Stratovolcano,D3,S0
0401-04=,04,01,-04-,White_Island,New Zealand,Historical,37.52,S,,177.18,E,321,Stratovolcanoes,D1,S1
0401-05=,04,01,-05-,Okataina,New Zealand,Historical,38.12,S,,176.50,E,1111,Lava domes,D2,S0
0401-06-,04,01,-06-,Reporoa,New Zealand,Tephrochronology,38.42,S,,176.33,E,592,Caldera,D6,S0
0401-061,04,01,-061,Maroa,New Zealand,Tephrochronology,38.42,S,,176.08,E,1156,Calderas,D6,S0
0401-07=,04,01,-07-,Taupo,New Zealand,Radiocarbon,38.82,S,,176.00,E,760,Caldera,D6,S0
0401-08=,04,01,-08-,Tongariro,New Zealand,Historical,39.13,S,,175.642,E,1978,Stratovolcanoes,D2,S1
0401-101,04,01,-101,Clark,New Zealand,Fumarolic,36.446,S,,177.839,E,-860,Submarine volcano,U,U0
0401-102,04,01,-102,Tangaroa,New Zealand,Fumarolic,36.321,S,,178.028,E,600,Submarine volcano,U,U0
0401-10=,04,01,-10-,Ruapehu,New Zealand,Historical,39.28,S,,175.57,E,2797,Stratovolcano,D1,S1
0401-11-,04,01,-11-,Rumble_V,New Zealand,Fumarolic,36.142,S,,178.196,E,400,Submarine volcano,U,U0
0401-12-,04,01,-12-,Rumble_IV,New Zealand,Fumarolic,36.13,S,,178.05,E,500,Submarine volcano,U,U0
0401-13-,04,01,-13-,Rumble_III,New Zealand,Hydrophonic,35.745,S,,178.478,E,-220,Submarine volcano,D2,U0
0401-131,04,01,-131,Rumble_II_West,New Zealand,Fumarolic,35.353,S,,178.527,E,1200,Submarine volcano,U,U0
0401-14-,04,01,-14-,Healy,New Zealand,Radiocarbon,35.004,S,,178.973,E,980,Submarine volcano,D6,U0
0401-15-,04,01,-15-,Brothers,New Zealand,Fumarolic,34.875,S,,179.075,E,-1350,Submarine volcano,U,U0
0402-001,04,02,-001,Volcano_W,Kermadec Is,Fumarolic,31.85,S,,179.18,W,-900,Submarine volcanoes,U,U0
0402-01=,04,02,-01-,Curtis_Island,Kermadec Is,Uncertain,30.542,S,,178.561,W,137,Submarine volcano,?,S0
0402-021,04,02,-021,Macauley_Island,Kermadec Is,Radiocarbon,30.20,S,,178.47,W,238,Caldera,D7,M0
0402-022,04,02,-022,Giggenbach,Kermadec Is,Fumarolic,30.036,S,,178.712,W,-65,Submarine volcano,U,U0
0402-03=,04,02,-03-,Raoul_Island,Kermadec Is,Historical,29.27,S,,177.92,W,516,Stratovolcano,D1,S0
0402-05-,04,02,-05-,Monowai_Seamount,Kermadec Is,Historical,25.887,S,,177.188,W,-132,Submarine volcano,D1,U0
0403-001,04,03,-001,Unnamed,Tonga-SW Pacific,Fumarolic,24.80,S,,177.02,W,-385,Submarine volcano,U,U0
0403-011,04,03,-011,Unnamed,Tonga-SW Pacific,Fumarolic,21.15,S,,175.75,W,-65,Submarine volcano,U,U0
0403-01=,04,03,-01-,Unnamed,Tonga-SW Pacific,Historical,21.38,S,,175.65,W,-500,Submarine volcano,D2,U0
0403-03=,04,03,-03-,Unnamed,Tonga-SW Pacific,Historical,20.85,S,,175.53,W,-13,Submarine volcano,D2,S0
0403-04=,04,03,-04-,Hunga_Tonga_Hunga_Ha_apai,Tonga-SW Pacific,Historical,20.57,S,,175.38,W,149,Submarine volcano,D2,S0
0403-05=,04,03,-05-,Falcon_Island,Tonga-SW Pacific,Historical,20.32,S,,175.42,W,-17,Submarine volcano,D2,S0
0403-061,04,03,-061,Kao,Tonga-SW Pacific,Holocene,19.67,S,,175.03,W,1030,Stratovolcano,U,S0
0403-06=,04,03,-06-,Tofua,Tonga-SW Pacific,Historical,19.75,S,,175.07,W,515,Caldera,D2,S0
0403-07=,04,03,-07-,Metis_Shoal,Tonga-SW Pacific,Historical,19.18,S,,174.87,W,43,Submarine volcano,D2,S0
0403-08=,04,03,-08-,Home_Reef,Tonga-SW Pacific,Historical,18.992,S,,174.775,W,-2,Submarine volcano,D1,S0
0403-091,04,03,-091,Unnamed,Tonga-SW Pacific,Historical,18.325,S,,174.365,W,-40,Submarine volcano,D1,S0
0403-09=,04,03,-09-,Late,Tonga-SW Pacific,Historical,18.806,S,,174.65,W,540,Stratovolcano,D3,S0
0403-101,04,03,-101,Tafahi,Tonga-SW Pacific,Holocene?,15.85,S,,173.72,W,560,Stratovolcano,?,S0
0403-102,04,03,-102,Curacoa,Tonga-SW Pacific,Historical,15.62,S,,173.67,W,-33,Submarine volcano,D2,S0
0403-10=,04,03,-10-,Fonualei,Tonga-SW Pacific,Historical,18.02,S,,174.325,W,180,Stratovolcano,D2,S0
0403-11=,04,03,-11-,Niuafoou,Tonga-SW Pacific,Historical,15.60,S,,175.63,W,260,Shield volcano,D2,M0
0404-00-,04,04,-00-,Vailuluu,Samoa-SW Pacific,Historical,14.215,S,,169.058,W,-592,Submarine volcano,D1,U0
0404-001,04,04,-001,Tau,Samoa-SW Pacific,Holocene,14.23,S,,169.454,W,931,Shield volcano,U,M0
0404-01=,04,04,-01-,Ofu_Olosega,Samoa-SW Pacific,Historical,14.175,S,,169.618,W,639,Shield volcanoes,D3,M0
0404-02-,04,04,-02-,Tutuila,Samoa-SW Pacific,Holocene,14.295,S,,170.70,W,653,Tuff cones,U,M0
0404-03-,04,04,-03-,Upolu,Samoa-SW Pacific,Holocene,13.935,S,,171.72,W,1100,Shield volcano,U,M0
0404-04=,04,04,-04-,Savaii,Samoa-SW Pacific,Historical,13.612,S,,172.525,W,1858,Shield volcano,D2,M0
0404-05-,04,04,-05-,Wallis_Islands,SW Pacific,Holocene,13.30,S,,176.17,W,143,Shield volcanoes,U,M0
0405-01-,04,05,-01-,Taveuni,Fiji Is-SW Pacific,Radiocarbon,16.82,S,,179.97,W,1241,Shield volcano,D5,M0
0405-02-,04,05,-02-,Koro,Fiji Is-SW Pacific,Holocene?,17.32,S,,179.40,E,522,Cinder cones,?,M0
0405-03-,04,05,-03-,Nabukelevu,Fiji Is-SW Pacific,Radiocarbon,19.12,S,,177.98,E,805,Lava domes,D5,S0
0500-01=,05,00,-01-,St_Andrew_Strait,Admiralty Is-SW Pacific,Historical, 2.38,S,,147.35,E,270,Complex volcano,D2,S0
0500-02-,05,00,-02-,Baluan,Admiralty Is-SW Pacific,Holocene?, 2.57,S,,147.28,E,254,Stratovolcano,U,M0
0500-03-,05,00,-03-,Unnamed,Admiralty Is-SW Pacific,Hydrophonic, 3.03,S,,147.78,E,-1300,Submarine volcano,D2,U0
0501-001,05,01,-001,Blup_Blup,New Guinea-NE of,Holocene, 3.507,S,,144.605,E,402,Stratovolcano,U,S0
0501-002,05,01,-002,Kadovar,New Guinea-NE of,Holocene, 3.630,S,,144.631,E,365,Stratovolcano,U,S0
0501-011,05,01,-011,Boisa,New Guinea-NE of,Holocene?, 3.994,S,,144.963,E,240,Stratovolcano,U,M0
0501-01=,05,01,-01-,Bam,New Guinea-NE of,Historical, 3.613,S,,144.818,E,685,Stratovolcano,D2,S2
0501-02=,05,01,-02-,Manam,New Guinea-NE of,Historical, 4.080,S,,145.037,E,1807,Stratovolcano,D1,M1
0501-03=,05,01,-03-,Karkar,New Guinea-NE of,Historical, 4.649,S,,145.964,E,1839,Stratovolcano,D2,S1
0501-041,05,01,-041,Yomba,New Guinea-NE of,Uncertain, 4.90,S,,146.75,E,,Submarine volcano ?,?,U0
0501-04=,05,01,-04-,Unnamed,New Guinea-NE of,Uncertain, 4.311,S,,146.256,E,-2000,Submarine volcano ?,?,U0
0501-05=,05,01,-05-,Long_Island,New Guinea-NE of,Historical, 5.358,S,,147.12,E,1280,Complex volcano,D2,S1
0501-06=,05,01,-06-,Umboi,New Guinea-NE of,Holocene, 5.589,S,,147.875,E,1548,Complex volcano,U,M0
0501-07=,05,01,-07-,Ritter_Island,New Guinea-NE of,Historical, 5.52,S,,148.121,E,140,Stratovolcano,D1,M1
0501-08=,05,01,-08-,Sakar,New Guinea-NE of,Holocene?, 5.414,S,,148.094,E,992,Stratovolcano,?,M0
0502-001,05,02,-001,Unnamed,New Britain-SW Pac,Uncertain, 5.20,S,,148.57,E,,Submarine volcano ?,?,U0
0502-01=,05,02,-01-,Langila,New Britain-SW Pac,Historical, 5.525,S,,148.42,E,1330,Complex volcano,D1,M1
0502-021,05,02,-021,Mundua,New Britain-SW Pac,Holocene, 4.63,S,,149.35,E,179,Complex volcano,U,M0
0502-03=,05,02,-03-,Garove,New Britain-SW Pac,Holocene, 4.692,S,,149.50,E,368,Stratovolcano,U,S0
0502-04=,05,02,-04-,Dakataua,New Britain-SW Pac,Anthropology, 5.056,S,,150.108,E,400,Caldera,D3,S0
0502-05=,05,02,-05-,Bola,New Britain-SW Pac,Holocene, 5.15,S,,150.03,E,1155,Stratovolcano,U,S0
0502-06=,05,02,-06-,Garua_Harbour,New Britain-SW Pac,Holocene?, 5.30,S,*,150.07,E,565,Volcanic field,?,S0
0502-071,05,02,-071,Lolo,New Britain-SW Pac,Holocene?, 5.468,S,,150.507,E,805,Stratovolcano,?,S0
0502-07=,05,02,-07-,Garbuna_Group,New Britain-SW Pac,Historical, 5.45,S,,150.03,E,564,Stratovolcanoes,D1,S0
0502-08=,05,02,-08-,Pago,New Britain-SW Pac,Historical, 5.58,S,,150.52,E,742,Caldera,D1,S1
0502-09=,05,02,-09-,Sulu_Range,New Britain-SW Pac,Fumarolic, 5.50,S,,150.942,E,610,Stratovolcanoes,U,S0
0502-10=,05,02,-10-,Hargy,New Britain-SW Pac,Radiocarbon, 5.33,S,,151.10,E,1148,Stratovolcano,D6,S0
0502-11=,05,02,-11-,Bamus,New Britain-SW Pac,Anthropology, 5.20,S,,151.23,E,2248,Stratovolcano,D3,S0
0502-12=,05,02,-12-,Ulawun,New Britain-SW Pac,Historical, 5.05,S,,151.33,E,2334,Stratovolcano,D1,S2
0502-131,05,02,-131,Unnamed,New Britain-SW Pac,Uncertain, 4.75,S,,150.85,E,,Submarine volcano ?,?,U0
0502-13=,05,02,-13-,Lolobau,New Britain-SW Pac,Historical, 4.92,S,,151.158,E,858,Caldera,D2,M3
0502-14=,05,02,-14-,Rabaul,New Britain-SW Pac,Historical, 4.271,S,,152.203,E,688,Pyroclastic shield,D1,S1
0502-15-,05,02,-15-,Tavui,New Britain-SW Pac,Radiocarbon, 4.12,S,,152.20,E,200,Caldera,D7,S0
0503-00-,05,03,-00-,Doma_Peaks,New Guinea,Holocene?, 5.90,S,,143.15,E,3568,Stratovolcano,?,S0
0503-001,05,03,-001,Crater_Mountain,New Guinea,Holocene?, 6.58,S,,145.08,E,3233,Stratovolcano,?,M0
0503-002,05,03,-002,Yelia,New Guinea,Holocene?, 7.05,S,,145.858,E,3384,Stratovolcano,?,S0
0503-003,05,03,-003,Koranga,New Guinea,Holocene, 7.33,S,,146.708,E,1500,Maar,U,S0
0503-004,05,03,-004,Madilogo,New Guinea,Holocene, 9.20,S,,147.57,E,850,Pyroclastic cone,U,M0
0503-011,05,03,-011,Hydrographers_Range,New Guinea,Holocene, 9.00,S,,148.37,E,1915,Stratovolcano,U,S0
0503-01=,05,03,-01-,Lamington,New Guinea,Historical, 8.95,S,,148.15,E,1680,Stratovolcano,D2,S2
0503-021,05,03,-021,Managlase_Plateau,New Guinea,Anthropology, 9.08,S,*,148.33,E,1342,Volcanic field,U,M0
0503-02=,05,03,-02-,Musa_River,New Guinea,Hot Springs, 9.308,S,,148.13,E,808,Hydrothermal field,?,S0
0503-031,05,03,-031,Sessagara,New Guinea,Holocene, 9.48,S,*,149.13,E,370,Pyroclastic cones,U,S0
0503-03=,05,03,-03-,Victory,New Guinea,Historical, 9.20,S,,149.07,E,1925,Stratovolcano,D2,S1
0503-041,05,03,-041,Goodenough,D'Entrecasteaux Is,Holocene, 9.48,S,*,150.35,E,220,Volcanic field,U,S0
0503-04=,05,03,-04-,Waiowa,New Guinea,Historical, 9.57,S,,149.075,E,640,Pyroclastic cone,D2,S2
0503-05=,05,03,-05-,Iamalele,D'Entrecasteaux Is,Holocene, 9.52,S,,150.53,E,200,Lava domes,U,S0
0503-06=,05,03,-06-,Dawson_Strait_Group,D'Entrecasteaux Is,Hydration Rind, 9.62,S,*,150.88,E,500,Volcanic field,D6,S0
0504-01=,05,04,-01-,Lihir,New Ireland-SW Pacific,Holocene, 3.125,S,,152.642,E,700,Volcanic complex,U,M0
0504-02=,05,04,-02-,Ambitle,New Ireland-SW Pacific,Radiocarbon, 4.08,S,,153.65,E,450,Stratovolcano,D7,S0
0505-00-,05,05,-00-,Tore,Bougainville-SW Pacific,Holocene, 5.83,S,,154.93,E,2200,Lava cone,U,S0
0505-011,05,05,-011,Billy_Mitchell,Bougainville-SW Pacific,Radiocarbon, 6.092,S,,155.225,E,1544,Pyroclastic shield,D5,S0
0505-01=,05,05,-01-,Balbi,Bougainville-SW Pacific,Holocene, 5.92,S,,154.98,E,2715,Stratovolcano,U,S0
0505-021,05,05,-021,Takuan_Group,Bougainville-SW Pacific,Holocene, 6.442,S,,155.608,E,2210,Volcanic complex,U,S0
0505-02=,05,05,-02-,Bagana,Bougainville-SW Pacific,Historical, 6.140,S,,155.195,E,1750,Lava cone,D1,S1
0505-03=,05,05,-03-,Loloru,Bougainville-SW Pacific,Radiocarbon, 6.52,S,,155.62,E,1887,Pyroclastic shield,D7,S0
0505-052,05,05,-052,Kana_Keoki,Solomon Is-SW Pacific,Holocene, 8.75,S,,157.03,E,-700,Submarine volcano,U,U0
0505-053,05,05,-053,Coleman_Seamount,Solomon Is-SW Pacific,Holocene, 8.83,S,,157.17,E,,Submarine volcano,U,U0
0505-05=,05,05,-05-,Simbo,Solomon Is-SW Pacific,Anthropology, 8.292,S,,156.52,E,335,Stratovolcanoes,D2,S0
0505-061,05,05,-061,Unnamed,Solomon Is-SW Pacific,Holocene, 8.92,S,,158.03,E,-240,Submarine volcanoes,U,U0
0505-062,05,05,-062,Gallego,Solomon Is-SW Pacific,Holocene?, 9.35,S,*,159.73,E,1000,Volcanic field,?,S0
0505-06=,05,05,-06-,Kavachi,Solomon Is-SW Pacific,Historical, 9.02,S,,157.95,E,-20,Submarine volcano,D1,M1
0505-07=,05,05,-07-,Savo,Solomon Is-SW Pacific,Historical, 9.13,S,,159.82,E,485,Stratovolcano,D3,S2
0506-01=,05,06,-01-,Tinakula,Santa Cruz Is-SW Pacific,Historical,10.38,S,,165.80,E,851,Stratovolcano,D1,S1
0507-001,05,07,-001,Motlav,Vanuatu-SW Pacific,Holocene,13.67,S,,167.67,E,411,Stratovolcano,U,M0
0507-01=,05,07,-01-,Suretamatai,Vanuatu-SW Pacific,Historical,13.80,S,,167.47,E,921,Complex volcano,D2,S0
0507-021,05,07,-021,Mere_Lava,Vanuatu-SW Pacific,Holocene,14.45,S,,168.05,E,1028,Stratovolcano,U,M0
0507-02=,05,07,-02-,Gaua,Vanuatu-SW Pacific,Historical,14.27,S,,167.50,E,797,Stratovolcano,D2,S1
0507-03=,05,07,-03-,Aoba,Vanuatu-SW Pacific,Historical,15.40,S,,167.83,E,1496,Shield volcano,D1,M0
0507-04=,05,07,-04-,Ambrym,Vanuatu-SW Pacific,Historical,16.25,S,,168.12,E,1334,Pyroclastic shield,D1,M1
0507-05=,05,07,-05-,Lopevi,Vanuatu-SW Pacific,Historical,16.507,S,,168.346,E,1413,Stratovolcano,D1,M2
0507-06=,05,07,-06-,Epi,Vanuatu-SW Pacific,Historical,16.68,S,,168.37,E,833,Stratovolcanoes,D1,M0
0507-07=,05,07,-07-,Kuwae,Vanuatu-SW Pacific,Historical,16.829,S,,168.536,E,-2,Caldera,D2,M0
0507-08-,05,07,-08-,Unnamed,Vanuatu-SW Pacific,Holocene?,16.992,S,,168.592,E,216,Stratovolcanoes,?,M0
0507-081,05,07,-081,North_Vate,Vanuatu-SW Pacific,Holocene,17.47,S,,168.353,E,594,Stratovolcanoes,U,M0
0507-09=,05,07,-09-,Traitors_Head,Vanuatu-SW Pacific,Historical,18.75,S,,169.23,E,837,Stratovolcano,D3,M0
0507-10=,05,07,-10-,Yasur,Vanuatu-SW Pacific,Historical,19.53,S,,169.442,E,361,Stratovolcano,D1,M1
0507-11-,05,07,-11-,Aneityum,Vanuatu-SW Pacific,Holocene?,20.20,S,,169.78,E,852,Stratovolcanoes,?,M0
0508-001,05,08,-001,Eastern_Gemini_Seamount,SW Pacific,Historical,20.98,S,,170.28,E,-80,Submarine volcano,D2,U0
0508-01=,05,08,-01-,Matthew_Island,SW Pacific,Historical,22.33,S,,171.32,E,177,Stratovolcano,D2,S0
0508-02=,05,08,-02-,Hunter_Island,SW Pacific,Historical,22.40,S,,172.05,E,297,Stratovolcano,D2,S0
0508-03-,05,08,-03-,Unnamed,SW Pacific,Hydrophonic,25.78,S,,168.63,E,-2400,Submarine volcano,D2,U0
0509-01-,05,09,-01-,Newer_Volcanics_Prov,Australia,Radiocarbon,37.77,S,*,142.50,E,1011,Shield volcanoes,D7,M0
0600-001,06,00,-001,Narcondum,Andaman Is-Indian O,Holocene,13.43,N,, 94.28,E,710,Stratovolcano,U,S0
0600-01=,06,00,-01-,Barren_Island,Andaman Is-Indian O,Historical,12.278,N,, 93.858,E,354,Stratovolcano,D1,S2
0601-02=,06,01,-02-,Seulawah_Agam,Sumatra,Historical, 5.448,N,, 95.658,E,1810,Stratovolcano,D3,S0
0601-03=,06,01,-03-,Peuet_Sague,Sumatra,Historical, 4.914,N,, 96.329,E,2801,Complex volcano,D1,S1
0601-05=,06,01,-05-,Bur_ni_Telong,Sumatra,Historical, 4.769,N,, 96.821,E,2617,Stratovolcano,D2,S1
0601-07=,06,01,-07-,Sibayak,Sumatra,Historical, 3.23,N,, 98.52,E,2212,Stratovolcanoes,D3,S0
0601-08=,06,01,-08-,Sinabung,Sumatra,Holocene, 3.17,N,, 98.392,E,2460,Stratovolcano,U,S0
0601-09=,06,01,-09-,Toba,Sumatra,Holocene, 2.58,N,, 98.83,E,2157,Caldera,U,S0
0601-101,06,01,-101,Imun,Sumatra,Holocene?, 2.158,N,, 98.93,E,1505,Unknown,?,S0
0601-111,06,01,-111,Lubukraya,Sumatra,Holocene?, 1.478,N,, 99.209,E,1862,Stratovolcano,?,S0
0601-11=,06,01,-11-,Sibualbuali,Sumatra,Holocene?, 1.556,N,, 99.255,E,1819,Stratovolcano,?,S0
0601-12=,06,01,-12-,Sorikmarapi,Sumatra,Historical, 0.686,N,, 99.539,E,2145,Stratovolcano,D2,S1
0601-131,06,01,-131,Sarik_Gajah,Sumatra,Holocene?, 0.08,N,,100.20,E,,Pyroclastic cones,?,S0
0601-13=,06,01,-13-,Talakmau,Sumatra,Holocene, 0.079,N,, 99.98,E,2919,Complex volcano,U,S0
0601-14=,06,01,-14-,Marapi,Sumatra,Historical, 0.381,S,,100.473,E,2891,Complex volcano,D1,S1
0601-15=,06,01,-15-,Tandikat,Sumatra,Historical, 0.433,S,,100.317,E,2438,Stratovolcanoes,D2,S1
0601-16=,06,01,-16-,Talang,Sumatra,Historical, 0.978,S,,100.679,E,2597,Stratovolcano,D1,S1
0601-171,06,01,-171,Kunyit,Sumatra,Fumarolic, 2.274,S,,101.483,E,2151,Stratovolcano,U,S0
0601-172,06,01,-172,Hutapanjang,Sumatra,Holocene, 2.33,S,,101.60,E,2021,Stratovolcano,U,S0
0601-17=,06,01,-17-,Kerinci,Sumatra,Historical, 1.697,S,,101.264,E,3800,Stratovolcano,D1,S1
0601-18=,06,01,-18-,Sumbing,Sumatra,Historical, 2.414,S,,101.728,E,2507,Stratovolcano,D2,S1
0601-191,06,01,-191,Pendan,Sumatra,Holocene, 2.82,S,,102.02,E,,Unknown,U,S0
0601-20=,06,01,-20-,Belirang_Beriti,Sumatra,Fumarolic, 2.82,S,,102.18,E,1958,Compound volcano,U,M0
0601-21=,06,01,-21-,Daun_Bukit,Sumatra,Fumarolic, 3.38,S,,102.37,E,2467,Stratovolcanoes,U,M0
0601-22=,06,01,-22-,Kaba,Sumatra,Historical, 3.52,S,,102.62,E,1952,Stratovolcano,D1,S1
0601-231,06,01,-231,Patah,Sumatra,Fumarolic, 4.27,S,,103.30,E,2817,Unknown,?,S0
0601-23=,06,01,-23-,Dempo,Sumatra,Historical, 4.03,S,,103.13,E,3173,Stratovolcanoes,D2,S1
0601-24=,06,01,-24-,Lumut_Balai_Bukit,Sumatra,Fumarolic, 4.22,S,,103.62,E,2055,Stratovolcano ?,U,S0
0601-251,06,01,-251,Ranau,Sumatra,Holocene?, 4.83,S,,103.92,E,1881,Caldera,?,S0
0601-25=,06,01,-25-,Besar,Sumatra,Historical, 4.43,S,,103.67,E,1899,Stratovolcano ?,D2,S0
0601-26=,06,01,-26-,Sekincau_Belirang,Sumatra,Fumarolic, 5.12,S,,104.32,E,1719,Calderas,U,S0
0601-27=,06,01,-27-,Suoh,Sumatra,Historical, 5.25,S,,104.27,E,1000,Calderas,D2,S0
0601-28=,06,01,-28-,Hulubelu,Sumatra,Fumarolic, 5.35,S,,104.60,E,1040,Caldera,U,S0
0601-29=,06,01,-29-,Rajabasa,Sumatra,Fumarolic, 5.78,S,,105.625,E,1281,Stratovolcano,U,S0
0602-00=,06,02,-00-,Krakatau,Indonesia,Historical, 6.102,S,,105.423,E,813,Caldera,D1,S1
0603-01=,06,03,-01-,Pulosari,Java,Holocene, 6.342,S,,105.975,E,1346,Stratovolcano,U,S0
0603-02=,06,03,-02-,Karang,Java,Holocene?, 6.27,S,,106.042,E,1778,Stratovolcano,?,S0
0603-04=,06,03,-04-,Perbakti_Gagak,Java,Historical, 6.75,S,,106.70,E,1699,Stratovolcanoes,D2,S0
0603-05=,06,03,-05-,Salak,Java,Historical, 6.72,S,,106.73,E,2211,Stratovolcano,D2,S1
0603-06=,06,03,-06-,Gede,Java,Historical, 6.78,S,,106.98,E,2958,Stratovolcano,D2,S2
0603-07=,06,03,-07-,Patuha,Java,Holocene, 7.160,S,,107.40,E,2434,Stratovolcano,U,S0
0603-081,06,03,-081,Malabar,Java,Holocene?, 7.13,S,,107.65,E,2343,Stratovolcano,?,S0
0603-08=,06,03,-08-,Wayang_Windu,Java,Fumarolic, 7.208,S,,107.63,E,2182,Lava dome,U,S0
0603-09=,06,03,-09-,Tangkubanparahu,Java,Historical, 6.77,S,,107.60,E,2084,Stratovolcano,D2,S1
0603-10=,06,03,-10-,Papandayan,Java,Historical, 7.32,S,,107.73,E,2665,Stratovolcanoes,D1,S1
0603-11=,06,03,-11-,Kendang,Java,Holocene, 7.23,S,,107.72,E,2608,Stratovolcano,U,S0
0603-131,06,03,-131,Tampomas,Java,Holocene, 6.77,S,,107.95,E,1684,Stratovolcano,U,S0
0603-13=,06,03,-13-,Guntur,Java,Historical, 7.143,S,,107.840,E,2249,Complex volcano,D3,S1
0603-14=,06,03,-14-,Galunggung,Java,Historical, 7.25,S,,108.058,E,2168,Stratovolcano,D2,M2
0603-15=,06,03,-15-,Talagabodas,Java,Fumarolic, 7.208,S,,108.07,E,2201,Stratovolcano,U,M0
