# Mastin&al:2009a
# Preliminary spreadsheet of eruption source parameters for volcanoes of the world.
# Open-File Report, U.S. Geological Survey, 2009. Number 2009-1133.
# L.G. Mastin, M. Guffanti, J.E. Ewert and J. Spiegel.
# http://pubs.usgs.gov/of/2009/1133
#NUMBER,RN,SN,VN,NAME,LOCATION,STATUS,LATITUDE,NS,VF,LONGITUDE,EW,ELEV,TYPE,TIMEFRAME,ERUPTION TYPE
0201-106,02,01,-106,Tat_Ali,Ethiopia,Holocene,13.28,N,, 41.07,E,700,Shield volcano,U,M0
0201-107,02,01,-107,Borawli,Ethiopia,Holocene,13.30,N,, 40.98,E,812,Stratovolcano,U,M0
0201-10=,02,01,-10-,Dubbi,Ethiopia,Historical,13.58,N,, 41.808,E,1625,Stratovolcano,D3,M0
0201-111,02,01,-111,Ma_Alalta,Ethiopia,Holocene,13.02,N,, 40.20,E,1815,Stratovolcano,U,S0
0201-112,02,01,-112,Alayta,Ethiopia,Historical,12.88,N,, 40.57,E,1501,Shield volcano,D2,M0
0201-113,02,01,-113,Dabbahu,Ethiopia,Historical,12.60,N,, 40.48,E,1442,Stratovolcano,D1,S0
0201-114,02,01,-114,Dabbayra,Ethiopia,Holocene,12.38,N,, 40.07,E,1302,Shield volcano,U,M0
0201-115,02,01,-115,Manda_Hararo,Ethiopia,Historical,12.17,N,, 40.82,E,600,Shield volcanoes,D1,M0
0201-116,02,01,-116,Groppo,Ethiopia,Holocene,11.73,N,, 40.25,E,930,Stratovolcano,U,S0
0201-11=,02,01,-11-,Afdera,Ethiopia,Holocene?,13.08,N,, 40.85,E,1295,Stratovolcano,?,S0
0201-121,02,01,-121,Borawli,Ethiopia,Holocene,11.63,N,, 41.45,E,875,Lava domes,U,S0
0201-122,02,01,-122,Manda_Inakir,Ethiopia,Historical,12.38,N,, 42.20,E,600,Fissure vents,D2,M0
0201-123,02,01,-123,Mousa_Alli,Ethiopia,Holocene,12.47,N,, 42.40,E,2028,Stratovolcano,U,S0
0201-124,02,01,-124,Gufa,Ethiopia,Holocene,12.55,N,*, 42.53,E,600,Volcanic field,U,M0
0201-125,02,01,-125,Assab_Volc_Field,Ethiopia,Holocene,12.95,N,*, 42.43,E,987,Volcanic field,U,M0
0201-126,02,01,-126,Ardoukoba,Djibouti,Historical,11.58,N,*, 42.47,E,298,Fissure vents,D2,M0
0201-12=,02,01,-12-,Kurub,Ethiopia,Holocene,11.88,N,, 41.208,E,625,Shield volcano,U,M0
0201-141,02,01,-141,Dama_Ali,Ethiopia,Historical,11.28,N,, 41.63,E,1068,Shield volcano,D5,M0
0201-151,02,01,-151,Yangudi,Ethiopia,Holocene,10.58,N,, 41.042,E,1383,Complex volcano,U,S0
0201-15=,02,01,-15-,Gabillema,Ethiopia,Holocene,11.08,N,, 41.27,E,1459,Stratovolcano,U,S0
0201-16=,02,01,-16-,Ayelu,Ethiopia,Holocene,10.082,N,, 40.702,E,2145,Stratovolcano,U,S0
0201-171,02,01,-171,Hertali,Ethiopia,Holocene, 9.78,N,, 40.33,E,900,Fissure vent,U,M0
0201-172,02,01,-172,Liado_Hayk,Ethiopia,Holocene?, 9.57,N,*, 40.28,E,878,Maars,?,S0
0201-17=,02,01,-17-,Adwa,Ethiopia,Holocene,10.070,N,, 40.840,E,1733,Stratovolcano,U,S0
0201-18=,02,01,-18-,Dofen,Ethiopia,Holocene, 9.35,N,, 40.13,E,1151,Stratovolcano,U,S0
0201-191,02,01,-191,Beru,Ethiopia,Holocene, 8.95,N,, 39.75,E,1100,Volcanic field,U,M0
0201-19=,02,01,-19-,Fentale,Ethiopia,Historical, 8.975,N,, 39.93,E,2007,Stratovolcano,D3,S0
0201-20-,02,01,-20-,Kone,Ethiopia,Historical, 8.80,N,, 39.692,E,1619,Calderas,D3,S0
0201-201,02,01,-201,Unnamed,Ethiopia,Holocene, 8.70,N,*, 39.63,E,1300,Pyroclastic cones,U,M0
0201-21-,02,01,-21-,Boset_Bericha,Ethiopia,Holocene, 8.558,N,, 39.475,E,2447,Stratovolcanoes,U,S0
0201-22-,02,01,-22-,Bishoftu_Volc_Field,Ethiopia,Holocene, 8.78,N,*, 38.98,E,1850,Fissure vents,U,M0
0201-221,02,01,-221,Unnamed,Ethiopia,Holocene, 8.62,N,*, 38.95,E,1800,Fissure vents,U,M0
0201-222,02,01,-222,Sodore,Ethiopia,Holocene, 8.43,N,*, 39.35,E,1765,Pyroclastic cones,U,M0
0201-23-,02,01,-23-,Gedamsa Caldera,Ethiopia,Holocene, 8.35,N,, 39.18,E,1984,Caldera,U,S0
0201-24-,02,01,-24-,Bora_Bericcio,Ethiopia,Holocene, 8.27,N,, 39.03,E,2285,Pumice cones,U,S0
0201-25-,02,01,-25-,Tullu_Moje,Ethiopia,Anthropology, 8.158,N,, 39.13,E,2349,Pumice cone,D2,S0
0201-251,02,01,-251,Unnamed,Ethiopia,Holocene, 8.07,N,*, 39.07,E,1800,Fissure vents,U,M0
0201-252,02,01,-252,East_Zway,Ethiopia,Holocene, 7.95,N,*, 38.93,E,1889,Fissure vents,U,M0
0201-26-,02,01,-26-,Butajiri_Silti_Field,Ethiopia,Holocene, 8.05,N,*, 38.35,E,2281,Fissure vents,U,M0
0201-27-,02,01,-27-,Alutu,Ethiopia,Radiocarbon, 7.77,N,, 38.78,E,2335,Stratovolcano,D7,S0
0201-28-,02,01,-28-,O_a_Caldera,Ethiopia,Holocene, 7.47,N,, 38.58,E,2075,Caldera,U,S0
0201-29-,02,01,-29-,Corbetti Caldera,Ethiopia,Holocene, 7.18,N,, 38.43,E,2320,Caldera,U,S0
0201-291,02,01,-291,Bilate_River_Field,Ethiopia,Holocene, 7.07,N,*, 38.10,E,1700,Maars,U,S0
0201-292,02,01,-292,Tepi,Ethiopia,Holocene, 7.42,N,*, 35.43,E,2728,Shield volcano,U,M0
0201-293,02,01,-293,Hobicha Caldera,Ethiopia,Holocene?, 6.78,N,, 37.83,E,1800,Caldera,?,M0
0201-30-,02,01,-30-,Chiracha,Ethiopia,Holocene?, 6.65,N,, 38.12,E,1650,Stratovolcano,?,S0
0201-31-,02,01,-31-,Tosa_Sucha,Ethiopia,Holocene, 5.93,N,*, 37.57,E,1650,Cinder cones,U,M0
0201-311,02,01,-311,Unnamed,Ethiopia,Holocene, 5.65,N,*, 37.67,E,1200,Cinder cones,U,M0
0201-32-,02,01,-32-,Korath_Range,Ethiopia,Holocene?, 5.10,N,*, 35.88,E,912,Tuff cones,?,M0
0201-33-,02,01,-33-,Mega_Basalt_Field,Ethiopia,Holocene, 4.08,N,*, 37.42,E,1067,Pyroclastic cones,U,M0
0202-001,02,02,-001,North_Island,Africa-E,Holocene, 4.07,N,, 36.05,E,520,Tuff cones,U,S0
0202-01=,02,02,-01-,Central_Island,Africa-E,Holocene, 3.50,N,, 36.042,E,550,Tuff cones,U,M0
0202-021,02,02,-021,Marsabit,Africa-E,Holocene?, 2.32,N,, 37.97,E,1707,Shield volcano,?,M0
0202-02=,02,02,-02-,South_Island,Africa-E,Historical, 2.63,N,, 36.60,E,800,Stratovolcano,D3,M0
0202-03=,02,02,-03-,The_Barrier,Africa-E,Historical, 2.32,N,, 36.57,E,1032,Shield volcano,D2,S1
0202-04-,02,02,-04-,Namarunu,Africa-E,Tephrochronology, 1.98,N,, 36.43,E,817,Shield volcano,D7,M0
0202-05-,02,02,-05-,Segererua_Plateau,Africa-E,Holocene, 1.57,N,*, 37.90,E,699,Pyroclastic cones,U,M0
0202-051,02,02,-051,Emuruangogolak,Africa-E,Radiocarbon, 1.50,N,, 36.33,E,1328,Shield volcano,D2,S0
0202-052,02,02,-052,Silali,Africa-E,Ar/Ar, 1.15,N,, 36.23,E,1528,Shield volcano,D7,S0
0202-053,02,02,-053,Paka,Africa-E,Ar/Ar, 0.92,N,, 36.18,E,1697,Shield volcano,D7,S0
0202-054,02,02,-054,Korosi,Africa-E,Holocene, 0.77,N,, 36.12,E,1446,Shield volcano,U,S0
