# From Mastin&al:2009b
# A multidisciplinary effort to assign realistic source parameters to models of volcanic ash-cloud transport and dispersion during eruptions.
# Journal of Volcanology and Geothermal Research, 186(1-2):10-21, 2009.
# L.G. Mastin, M. Guffanti, R. Servranckx, P. Webley, S. Barsotti, K. Dean, A. Durant, J.W. Ewert, A. Neri, W.I. Rose, D. Schneider, L. Siebert, B. Stunder, G. Swanson, A. Tupper, A. Volentik and C.F. Waythomas.
# http://dx.doi.org/10.1016/j.jvolgeores.2009.01.008
#
# Additional parameters: BASE,m63(modified),START,END
# BASE    'VENT' for ELEV (vent elevarion; Mastin&al:2009a)
#         'SURF' for model surface istead of ELEV
#         X for km above surface
# m64     '' (epmty) for explicit dM/dt
#         X use as m100 fraction in combination with London VAAC bin/splits
# START/END codes
#   SR    Start of the simulation
#   SR+D  Start of the simulation    + D (hours)
#   SE+D  START (eruption parameter) + D (hours); do not use wildcards in SE
#   EE-D  END (eruption parameter)   - D (hours); do not use wildcards in EE
#   ER-D  End of the simulation      - D (hours)
#   ER    End of the simulation
# START/END date & wildcards
#   date  Any DATE in YYYY-MM-DD hh:mm:ss format
#   YYYY  Year   wildcard, e.g. YYYY-04-14 for April 14th of any year
#   MM    Month  wildcard, e.g. 2010-MM-14 for 14th of every month on 2010
#   DD    Day    wildcard, e.g. 2010-04-DD for every day of April 2010
#   hh    Hour   wildcard, e.g. hh:30:00 for 00:30:00, 01:30:00 ... 23:30:00
#   mm    Minute wildcard, e.g. 12:mm:00 for 12:00:00, 12:01:00 ... 12:59:00
#   ss    Second wildcard, e.g. 12:30:ss for 12:30:00, 12:30:01 ... 12:30:59
#TYPE/VOLCANO,VARIABLE,BASE[km],H[km above VENT],D[h],dM/dt[kg/s],m63[-],START[code/date],END[code/date],DESCRIPTION
M0,,VENT,  7.000,  60.00, 1e5, 0.05,SR,SE+D,Mafic standard
M1,,VENT,  2.000, 100.00, 5e3, 0.02,SR,SE+D,Mafic small
M2,,VENT,  7.000,  60.00, 1e5, 0.05,SR,SE+D,Mafic medium
M3,,VENT, 10.000,   5.00, 1e6, 0.10,SR,SE+D,Mafic large
S0,,VENT, 11.000,   3.00, 4e6, 0.40,SR,SE+D,Silicic standard
S1,,VENT,  5.000,  12.00, 2e5, 0.10,SR,SE+D,Silicic small
S2,,VENT, 11.000,   3.00, 4e6, 0.40,SR,SE+D,Silicic medium
S3,,VENT, 15.000,   8.00, 1e7, 0.50,SR,SE+D,Silicic large
S8,,VENT, 25.000,   0.50, 1e8, 0.50,SR,SE+D,Silicic co-ignimbrite cloud
S9,,VENT, 10.000,   0.01, 3e6, 0.60,SR,SE+D,Silicic Brief
